plot_id,alternative_plot_id,site_id,site_name,habitat,habitat_simple,project,seq_run,fg_soil_project,latitude,longitude,altitude,eDNA_sequence_data_available,phys_chem_data_available,phys_chem_patches_analyzed,clay,silt,sand,pH,TN,OC,CN,AP
ANT1,ANT1,ANT,Ferme Antoinette,Pasture,Pasture,BING,BING,yes,5.36904,-53.01705,14,yes,yes,1,0,9.6565,90.3445,5.68,0.12233,1.78178,14.56539,1.06647
ANT2,ANT2,ANT,Ferme Antoinette,Pasture,Pasture,BING,BING,yes,5.37259,-53.01238,14,yes,yes,1,0,5.4455,94.557,5.4,0.11151,1.60586,14.4014,0.23025
BAF1,BAF1,BAF,BAFOG,Seasonally Flooded Forest,Seasonally Flooded Forest,DIAMOND,DIAMOND,yes,5.48803,-53.98986,30,yes,yes,NA,12.575,2.9,84.525,4.915,1.2875,18.125,14.02294,0.00875
BAF3,BAF3,BAF,BAFOG,Terra Firme,Terra Firme,DIAMOND,DIAMOND,yes,5.48673,-53.9897,43,yes,yes,NA,12.425,3.225,84.35,4.535,1.34,19.9,14.83211,0.00825
BALBF,BALBF,BAL,Balata,Seasonally Flooded Forest,Seasonally Flooded Forest,DIAMOND,DIAMOND,yes,4.88144,-52.62689,NA,yes,yes,NA,29.675,15.275,55.05,5.2775,3.3475,50.15,14.87437,0.0115
BALTF,BALTF,BAL,Balata,Terra Firme,Terra Firme,DIAMOND,DIAMOND,yes,4.88418,-52.62919,NA,yes,yes,NA,55.825,12.95,31.225,5.0875,4.2475,65.15,15.27099,0.0055
BLATF,BLATF,BLA,Balate2,Terra Firme,Terra Firme,DIAMOND,DIAMOND,yes,5.33467,-53.9573,NA,yes,yes,NA,26.975,5.725,67.3,5.115,2.0025,26.95,13.46823,0.01
BRI1,BRI1,BRI,Brigandin,Savanna,Savanna,BING,BING,yes,5.41225,-52.99675,5.25913,yes,yes,1,4.142,38.831,57.033,4.8,0.10631,1.35162,12.71366,0.34029
BuffP22,Buff22,BUFF,Ferme Buffard,Pasture,Pasture,BING,BING,yes,5.07267,-52.58036,10,yes,yes,1,0.94,33.6935,65.3685,5.08,0.19608,2.29571,11.708,0.55026
BuffP25,Buff25,BUFF,Ferme Buffard,Pasture,Pasture,BING,BING,yes,5.07467,-52.58561,10,yes,yes,1,2.0575,38.6055,59.3405,5.13,0.25998,3.10709,11.95129,0.66461
BuffP0,BuffP0,BUFF,Ferme Buffard,Pasture,Pasture,BING,BING,yes,5.08031,-52.5892,10,yes,yes,1,1.803,43.0015,55.1975,5.32,0.2087,2.95061,14.13836,1.52268
CABE1,CABE1,CABE,Ferme Burban,Pasture,Pasture,BING,BING,yes,5.01178,-52.63573,11,yes,yes,1,1.0265,46.0595,52.9155,5.41,0.10525,1.37345,13.04937,0.6151
CABE2,CABE2,CABE,Ferme Burban,Pasture,Pasture,BING,BING,yes,5.00921,-52.63306,22,yes,yes,1,1.3975,44.3865,54.2185,5.2,0.10136,1.32736,13.09534,0.38556
CAM,CAM,CAM,Cambior,Terra Firme,Terra Firme,DIAMOND,DIAMOND,yes,4.55737,-52.20909,NA,yes,yes,1,44.525,27.575,27.9,5.54,5.8925,84.2,14.29270615,0.0075
Camp1,Campus_P1,CAMP,Campus Kourou,White-Sand,White-Sand,BING,BING,yes,5.17252,-52.65453,4,yes,no,1,NA,NA,NA,NA,NA,NA,NA,1.3
Camp2,Campus_P2,CAMP,Campus Kourou,White-Sand,White-Sand,BING,BING,yes,5.17277,-52.65516,2,yes,yes,NA,3.075,1.4,95.525,4.7175,0.945,17.525,18.34885,0.96
CAMPK,CAMPK,CAMP,Campus Kourou,White-Sand,White-Sand,DIAMOND,DIAMOND,yes,5.173301,-52.654597,NA,yes,yes,1,3.075,1.4,95.525,4.7175,0.945,17.525,18.34884804,0.009
CAY2,CAY2,CAY,Montabo,Terra Firme,Terra Firme,DIAMOND,DIAMOND,yes,4.9497,-52.30546,NA,yes,yes,NA,31.275,13.7,55.025,6.0725,2.58,32.1,12.46222,0.0105
CAY3,CAY3,CAY,Bourda,Terra Firme,Terra Firme,DIAMOND,DIAMOND,yes,4.93856,-52.28857,NA,yes,yes,NA,60.625,14.6,24.775,5.0725,2.8775,44.2,15.33905,0.00775
CGBF,CGBF,CG,Crique Grosse Roche,Seasonally Flooded Forest,Seasonally Flooded Forest,DIAMOND,DIAMOND,yes,5.26184,-53.32068,41,yes,yes,NA,18.1,8.45,73.45,5.2975,3.8325,55.825,14.33559,0.03175
