plot_id;tokeep_NEF;alternative_plot_id;site_id;site_name;habitat;habitat_simple;project;seq_run;fg_soil_project;latitude;longitude;altitude;eDNA_sequence_data_available;phys_chem_data_available;phys_chem_patches_analyzed;clay;silt;sand;pH;TN;OC;CN;AP
ANT1;ask;ANT1;ANT;Ferme Antoinette;Pasture;Pasture;BING;BING;yes;536.904;-5.301.705;14;yes;yes;1;0;96.565;903.445;5.68;0.12233;178.178;1.456.539;106.647
ANT2;ask;ANT2;ANT;Ferme Antoinette;Pasture;Pasture;BING;BING;yes;537.259;-5.301.238;14;yes;yes;1;0;54.455;94.557;5.4;0.11151;160.586;144.014;0.23025
BAF1;yes;BAF1;BAF;BAFOG;Seasonally Flooded Forest;Seasonally Flooded Forest;DIAMOND;DIAMOND;yes;548.803;-5.398.986;30;yes;yes;NA;12.575;2.9;84.525;4.915;12.875;18.125;1.402.294;0.00875
BAF3;yes;BAF3;BAF;BAFOG;Terra Firme;Terra Firme;DIAMOND;DIAMOND;yes;548.673;-539.897;43;yes;yes;NA;12.425;3.225;84.35;4.535;1.34;19.9;1.483.211;0.00825
BALBF;yes;BALBF;BAL;Balata;Seasonally Flooded Forest;Seasonally Flooded Forest;DIAMOND;DIAMOND;yes;488.144;-5.262.689;NA;yes;yes;NA;29.675;15.275;55.05;52.775;33.475;50.15;1.487.437;0.0115
BALTF;yes;BALTF;BAL;Balata;Terra Firme;Terra Firme;DIAMOND;DIAMOND;yes;488.418;-5.262.919;NA;yes;yes;NA;55.825;12.95;31.225;50.875;42.475;65.15;1.527.099;0.0055
BLATF;yes;BLATF;BLA;Balate2;Terra Firme;Terra Firme;DIAMOND;DIAMOND;yes;533.467;-539.573;NA;yes;yes;NA;26.975;5.725;67.3;5.115;20.025;26.95;1.346.823;0.01
BRI1;ask;BRI1;BRI;Brigandin;Savanna;Savanna;BING;BING;yes;541.225;-5.299.675;525.913;yes;yes;1;4.142;38.831;57.033;4.8;0.10631;135.162;1.271.366;0.34029
BuffP22;ask;Buff22;BUFF;Ferme Buffard;Pasture;Pasture;BING;BING;yes;507.267;-5.258.036;10;yes;yes;1;0.94;336.935;653.685;5.08;0.19608;229.571;11.708;0.55026
BuffP25;ask;Buff25;BUFF;Ferme Buffard;Pasture;Pasture;BING;BING;yes;507.467;-5.258.561;10;yes;yes;1;20.575;386.055;593.405;5.13;0.25998;310.709;1.195.129;0.66461
BuffP0;ask;BuffP0;BUFF;Ferme Buffard;Pasture;Pasture;BING;BING;yes;508.031;-525.892;10;yes;yes;1;1.803;430.015;551.975;5.32;0.2087;295.061;1.413.836;152.268
