SampleID;Country;Site_name;Province;Latitude;Longitude;Grid_Size;Soil_Depth;Vegetation;Land_use;Ecosystem;Elevation_masl;Date_collected;Sequencing_platform;Sequencing_facility;PrimerF;PrimerR;Expedition leader;Collaborators;;;;;;;
LT_P1;French Guiana;Nouragues;;4.0283167;-52.67785;60;10;dominance de bambous du genre Lasiacis;past;Tropical broadleaf forests;;106;GeT-PlaGe;Miseq;Fung02;Fung02;M.Roy;G.Odonne;;;;;;;
LT_P2;French Guiana;Nouragues;;4.0277833;-52.67803333333333;60;10;de nombreux Astrocaryum paramaca;past;Tropical broadleaf forests;;97;GeT-PlaGe;Miseq;Fung02;Fung02;M.Roy;G.Odonne;;;;;;;
LT_P3;French Guiana;Nouragues;;4.0287667;-52.68181666666667;60;10;prédominance de palmiers Oenocarpus bataua;past;Tropical broadleaf forests;;104;GeT-PlaGe;Miseq;Fung02;Fung02;M.Roy;G.Odonne;;;;;;;
LT_P4;French Guiana;Nouragues;;4.03365;-52.6828;60;10;;none;Tropical broadleaf forests;;59;GeT-PlaGe;Miseq;Fung02;Fung02;M.Roy;G.Odonne;;;;;;;
LT_P5;French Guiana;Nouragues;;4.03705;-52.68266666666667;60;10;Lasiacis, Heliconia, Costus, Euterpe;none;Tropical broadleaf forests;;45;GeT-PlaGe;Miseq;Fung02;Fung02;M.Roy;G.Odonne;;;;;;;
LT_P6;French Guiana;Nouragues;;4.0383;-52.68255;60;10;arbres diametre élevés;none;Tropical broadleaf forests;;121;GeT-PlaGe;Miseq;Fung02;Fung02;M.Roy;G.Odonne;;;;;;;
LT_P7;French Guiana;Nouragues;;4.0392667;-52.683683333333335;60;10;Oenocarpus bacaba en contrebas, cambrouse à Lasiacis;past;Tropical broadleaf forests;;126;GeT-PlaGe;Miseq;Fung02;Fung02;M.Roy;G.Odonne;;;;;;;
LT_P8;French Guiana;Nouragues;;4.0287667;-52.68181666666667;60;10;prédominance de palmiers Oenocarpus bataua;past;Tropical broadleaf forests;;104;GeT-PlaGe;Miseq;Fung02;Fung02;M.Roy;G.Odonne;;;;;;;
LT_P9;French Guiana;Nouragues;;4.0794167;-52.671683333333334;60;10;;past;Tropical broadleaf forests;;;GeT-PlaGe;Miseq;Fung02;Fung02;M.Roy;G.Odonne;;;;;;;
LT_P10;French Guiana;Nouragues;;4.0813333;-52.6731;60;10;absence de grands palmiers;none;Tropical broadleaf forests;;;GeT-PlaGe;Miseq;Fung02;Fung02;M.Roy;G.Odonne;;;;;;;
LT_P11;French Guiana;Nouragues;;4.0789833;-52.674166666666665;60;10;nombreux oenocarpus spp.;past;Tropical broadleaf forests;;;GeT-PlaGe;Miseq;Fung02;Fung02;M.Roy;G.Odonne;;;;;;;
LT_P12;French Guiana;Nouragues;;4.0834667;-52.67375;60;10;arbres élevés, diametre élevés, astrocaryum sciophyllum;none;Tropical broadleaf forests;;;GeT-PlaGe;Miseq;Fung02;Fung02;M.Roy;G.Odonne;;;;;;;
