new.ID,Latitude,Longitude,groups,nitrogen,sand,cec,soc,phh2o,silt
NEF_diam_BRI1_2025,5.412,-52.997,1,459,204,263,685,50,514
NEF_diam_Camp1_2025,5.173,-52.655,1,409,207,280,557,52,398
NEF_diam_Camp2_2025,5.173,-52.655,1,409,207,280,557,52,398
NEF_diam_GM1_2025,5.542,-53.418,1,469,253,278,603,50,398
NEF_diam_GM2_2025,5.54,-53.414,1,441,245,292,551,50,396
NEF_diam_GR_2025,5.38,-53.055,1,383,285,254,625,48,385
NEF_diam_GRS1_2025,4.177,-54.002,2,290,504,132,478,45,214
NEF_diam_GRS2_2025,4.17,-54,2,326,432,139,509,46,232
NEF_diam_GRS3_2025,4.163,-53.982,2,284,430,118,443,44,258
NEF_diam_GRS4_2025,4.164,-53.994,2,304,456,161,556,45,232
NEF_diam_GRS5_2025,4.162,-54.004,2,331,428,144,522,45,239
NEF_diam_GRS6_2025,4.158,-54.009,2,334,480,138,494,44,198
NEF_diam_GRS7_2025,4.164,-54.015,2,363,454,150,457,44,251
NEF_diam_GRS8_2025,4.164,-54.009,2,335,441,144,508,45,240
NEF_diam_KAR1_2025,5.234,-52.809,1,369,198,271,570,53,477
NEF_diam_KAR2_2025,5.237,-52.803,1,381,229,264,638,54,420
NEF_diam_MAT1_2025,5.064,-52.604,1,466,196,253,687,50,465
NEF_diam_RB_2025,5.495,-53.305,1,456,230,274,681,47,449
NEF_diam_REN1_2025,5.319,-52.888,1,407,270,298,566,50,449
NEF_diam_REN2_2025,5.323,-52.891,1,334,276,295,600,50,454
NEF_diam_REN3_2025,5.327,-52.896,1,413,289,292,748,50,451
NEF_diam_SAM1_2025,4.995,-52.466,1,432,184,277,667,52,490
NEF_diam_SAVINC1_2025,5.268,-52.958,1,439,262,268,700,50,452
NEF_diam_SAVINC2_2025,5.268,-52.961,1,452,253,271,681,48,441
NEF_diam_SF1_2025,5.528,-53.384,1,0,0,0,0,0,0
NEF_diam_SF2_2025,5.526,-53.379,1,0,0,0,0,0,0
NEF_diam_SP1_2025,5.117,-52.654,1,459,199,300,739,49,539
NEF_diam_SP2_2025,5.122,-52.653,1,428,196,296,699,50,511
NEF_diam_TP1_2025,5.409,-53.093,1,383,187,296,574,53,522
NEF_diam_TP2_2025,5.405,-53.089,1,424,220,291,721,50,466
NEF_diam_WAB1_2025,5.043,-52.634,1,331,263,247,446,51,435
NEF_diam_WAB2_2025,5.037,-52.627,1,365,224,241,598,50,493
