"","new.ID","Latitude","Longitude","groups","nitrogen","sand","cec","soc","phh2o","silt"
"1","NEF_AtlasMXA_G5134_2025",20.86,-90.14,1,562,384,331,854,79,341
"2","NEF_AtlasMXA_G5135_2025",19.77,-90.55,2,301,354,289,458,74,219
"3","NEF_AtlasMXA_G5136_2025",19.08,-91.06,2,0,0,0,0,0,0
"4","NEF_AtlasMXA_G5137_2025",20.68,-88.57,3,775,371,316,544,72,230
"5","NEF_AtlasMXA_G5138_2025",20.75,-88.47,3,898,371,297,619,74,210
"6","NEF_AtlasMXA_G5139_2025",20.26,-87.39,4,0,0,0,0,0,0
"7","NEF_AtlasMXA_MX10_2025",19.67,-100.29,5,499,496,229,825,57,296
"8","NEF_AtlasMXA_MX11_2025",19.68,-96.85,6,489,493,271,640,58,353
"9","NEF_AtlasMXA_MX12_2025",18.58,-95.08,7,412,450,170,474,54,276
"10","NEF_AtlasMXA_MX13_2025",17.62,-92.47,8,529,499,196,535,57,266
"11","NEF_AtlasMXA_MX14_2025",16.88,-93.46,9,398,406,193,429,58,257
"12","NEF_AtlasMXA_MX15_2025",15.8,-96.11,10,213,680,217,287,64,197
"13","NEF_AtlasMXA_MX16_2025",17.34,-96.47,11,385,431,219,696,51,285
"14","NEF_AtlasMXA_MX17_2025",18.16,-97.3,11,212,484,191,355,72,301
"15","NEF_AtlasMXA_MX18_2025",20.16,-98.55,12,340,443,254,337,64,256
"16","NEF_AtlasMXA_MX19_2025",20.64,-98.6,12,511,424,282,552,58,297
"17","NEF_AtlasMXA_MX1a_2025",19.51,-105.05,13,269,551,242,215,66,241
"18","NEF_AtlasMXA_MX20_2025",20.48,-98.67,12,370,419,257,349,69,228
"19","NEF_AtlasMXA_MX21_2025",17.39,-96.45,11,503,431,209,750,48,315
"20","NEF_AtlasMXA_MX22_2025",17.39,-96.46,11,471,441,222,849,51,317
"21","NEF_AtlasMXA_MX23_2025",19.13,-98.66,14,409,475,207,637,62,330
"22","NEF_AtlasMXA_MX24_2025",15.91,-97.08,10,239,719,197,237,64,185
"23","NEF_AtlasMXA_MX25_2025",16.88,-93.45,9,370,409,198,408,57,260
"24","NEF_AtlasMXA_MX26_2025",20.96,-98.68,12,681,370,285,756,55,316
"25","NEF_AtlasMXA_MX27_2025",17.64,-96.38,11,586,460,217,797,52,278
"26","NEF_AtlasMXA_MX28_2025",18.23,-89.8,15,519,350,311,603,74,166
"27","NEF_AtlasMXA_MX29_2025",17.62,-92.47,8,529,499,196,535,57,266
"28","NEF_AtlasMXA_MX2b_2025",19.05,-99.31,14,424,446,256,663,58,309
"29","NEF_AtlasMXA_MX3_2025",19.39,-97.7,6,320,527,207,347,68,247
"30","NEF_AtlasMXA_MX30_2025",16.81,-91.11,16,459,413,200,544,62,247
"31","NEF_AtlasMXA_MX31_2025",18.58,-95.08,7,412,450,170,474,54,276
"32","NEF_AtlasMXA_MX32_2025",16.11,-91.68,16,568,420,190,758,55,260
"33","NEF_AtlasMXA_MX33_2025",16.09,-91.68,16,626,403,193,686,55,240
"34","NEF_AtlasMXA_MX34_2025",20.09,-89.55,3,356,331,325,454,72,200
"35","NEF_AtlasMXA_MX35_2025",19.78,-97.1,6,501,376,239,615,53,293
"36","NEF_AtlasMXA_MX36_2025",19.85,-97.22,6,417,479,233,562,55,232
"37","NEF_AtlasMXA_MX4_2025",19.27,-98.04,6,474,505,242,696,56,358
"38","NEF_AtlasMXA_MX5_2025",19.27,-99.36,14,485,482,258,766,57,329
"39","NEF_AtlasMXA_MX7_2025",19.62,-101.33,5,337,450,279,490,59,300
"40","NEF_AtlasMXA_MX8_2025",20.81,-103.86,17,596,459,253,474,61,259
"41","NEF_AtlasMXA_MX9_2025",20.83,-103.85,17,490,473,256,406,59,243
"42","NEF_AtlasMXA_S036_2025",21.21,-87.19,4,857,441,277,981,73,242
"43","NEF_AtlasMXA_S163_2025",19.17,-97.3,6,466,507,192,745,54,297
"44","NEF_AtlasMXA_S164_2025",17.17,-96.64,11,465,486,220,779,50,278
"45","NEF_AtlasMXA_S165_2025",22.2,-102.6,18,334,484,279,421,60,255
"46","NEF_AtlasMXA_S529_2025",20.94,-90.37,1,324,642,282,583,82,161
"47","NEF_AtlasMXA_S530_2025",20.86,-90.15,1,605,392,324,827,78,337
"48","NEF_AtlasMXA_S531_2025",19.96,-89.17,3,367,305,321,464,72,233
"49","NEF_AtlasMXA_S532_2025",20.2,-87.48,4,807,610,350,1054,72,192
"50","NEF_AtlasMXA_S657_2025",25.22,-100.39,19,492,429,226,670,67,284
"51","NEF_AtlasMXA_S658_2025",24.02,-100.25,20,182,402,178,328,75,334
"52","NEF_AtlasMXA_S659_2025",25.25,-100.91,19,400,328,214,507,72,269
"53","NEF_AtlasMXA_S660_2025",25.25,-100.85,19,390,383,209,471,71,278
"54","NEF_AtlasMXA_S661_2025",25.25,-100.93,19,362,373,186,450,72,295
"55","NEF_AtlasMXA_S662_2025",24.73,-100.11,20,297,449,148,357,71,288
"56","NEF_AtlasMXA_S663_2025",25.35,-101.03,19,170,375,177,215,80,337
"57","NEF_AtlasMXA_S664_2025",24.75,-100.03,20,194,381,165,250,79,307
"58","NEF_AtlasMXA_S665_2025",24.52,-99.98,20,433,420,205,685,68,266
"59","NEF_AtlasMXA_S666_2025",24.4,-99.92,20,294,452,179,361,75,286
"60","NEF_AtlasMXA_S907_2025",19,-99.1,14,347,446,268,437,60,303
"61","NEF_AtlasMXA_S908N_2025",19.28,-99.37,14,400,504,260,484,63,288
"62","NEF_AtlasMXA_S909_2025",19.28,-99.37,14,400,504,260,484,63,288
"63","NEF_AtlasMXA_S910N_2025",19.29,-99.19,14,265,454,271,310,62,294
"64","NEF_AtlasMXA_S911_2025",16.16,-91.31,16,453,378,227,435,59,264
"65","NEF_AtlasMXA_S912_2025",16.15,-90.89,16,491,362,194,556,59,285
"66","NEF_AtlasMXA_S913_2025",16.25,-90.83,16,508,355,196,456,61,291
"67","NEF_AtlasMXA_S914_2025",16.1,-91.69,16,616,404,206,730,53,243
"68","NEF_AtlasMXA_S915_2025",16.55,-93.88,9,180,533,194,197,65,243
