"","...1","new.ID","Latitude","Longitude","groups","nitrogen","sand","cec","soc","phh2o","silt"
"1",1,"NEF_long_P1_2025",4.028,-52.678,1,434,365,158,620,45,280
"2",2,"NEF_long_P2_2025",4.028,-52.678,1,434,365,158,620,45,280
"3",3,"NEF_long_P3_2025",4.029,-52.682,1,477,348,163,597,47,287
"4",4,"NEF_long_P4_2025",4.034,-52.683,1,437,349,181,631,45,277
"5",5,"NEF_long_P5_2025",4.037,-52.683,1,444,335,182,665,47,291
"6",6,"NEF_long_P6_2025",4.038,-52.683,1,444,335,182,665,47,291
"7",7,"NEF_long_P7_2025",4.039,-52.684,1,445,335,181,646,46,290
"8",9,"NEF_long_P9_2025",4.079,-52.672,1,374,359,185,579,46,279
"9",10,"NEF_long_P10_2025",4.081,-52.673,1,374,359,185,579,46,279
"10",11,"NEF_long_P11_2025",4.079,-52.674,1,345,356,177,591,47,287
"11",12,"NEF_long_P12_2025",4.083,-52.674,1,348,359,177,565,47,288
"12",13,"NEF_spun_Riz2_2025",1.239,-70.214,2,344,511,198,635,47,292
"13",14,"NEF_spun_Riz1_2025",1.271,-70.203,2,0,0,0,0,0,0
"14",15,"NEF_spun_Riz3_2025",1.212,-70.21,2,359,585,154,397,45,193
"15",16,"NEF_spun_Riz4_2025",1.23,-70.228,2,350,533,171,669,46,260
"16",17,"NEF_spun_Riz5_2025",2.491,-72.639,3,300,418,151,347,50,365
"17",18,"NEF_spun_Riz6_2025",2.575,-72.714,3,285,461,191,398,52,344
"18",19,"NEF_spun_Riz7_2025",2.491,-72.658,3,277,429,122,301,51,358
"19",20,"NEF_spun_Riz8_2025",2.527,-72.868,3,253,480,158,356,52,321
"20",21,"NEF_spun_Riz9_2025",4.215,-69.941,4,222,486,96,253,51,269
"21",22,"NEF_spun_Riz10_2025",4.215,-69.941,4,222,486,96,253,51,269
"22",23,"NEF_spun_Riz11_2025",-4.103,-69.975,5,348,319,197,519,46,402
"23",24,"NEF_spun_Riz12_2025",-4.103,-69.975,5,348,319,197,519,46,402
"24",25,"NEF_spun_Riz13_2025",-4.182,-69.936,5,365,227,173,493,45,420
"25",26,"NEF_spun_Riz14_2025",-4.182,-69.936,5,365,227,173,493,45,420
"26",27,"NEF_spun_Riz15_2025",-4.182,-69.936,5,365,227,173,493,45,420
"27",28,"NEF_spun_Riz16_2025",0.589,-76.582,6,426,300,240,540,49,252
"28",29,"NEF_spun_Riz17_2025",1.103,-76.615,6,518,312,207,1578,50,330
"29",30,"NEF_spun_Riz18_2025",1.101,-76.625,6,455,339,210,1756,50,328
"30",31,"NEF_spun_Riz19_2025",0.949,-76.613,6,446,343,231,1332,52,293
"31",32,"NEF_spun_Riz20_2025",1.274,-76.572,6,380,385,218,953,48,309
"32",33,"NEF_dryf_TAM_2025",1.674,-77.31,6,349,344,250,461,58,337
"33",34,"NEF_dryf_TAM_2025",1.674,-77.31,6,349,344,250,461,58,337
"34",35,"NEF_dryf_TAM_2025",1.674,-77.31,6,349,344,250,461,58,337
"35",36,"NEF_dryf_TAM_2025",1.674,-77.31,6,349,344,250,461,58,337
"36",37,"NEF_dryf_TAM_2025",1.674,-77.31,6,349,344,250,461,58,337
"37",38,"NEF_dryf_VINC_2025",3.836,-76.296,7,293,293,242,434,55,326
"38",39,"NEF_dryf_VINC_2025",3.836,-76.296,7,293,293,242,434,55,326
"39",40,"NEF_dryf_VINC_2025",3.836,-76.296,7,293,293,242,434,55,326
"40",41,"NEF_dryf_VINC_2025",3.836,-76.296,7,293,293,242,434,55,326
"41",42,"NEF_dryf_VINC_2025",3.836,-76.296,7,293,293,242,434,55,326
"42",43,"NEF_dryf_VINC_2025",3.836,-76.296,7,293,293,242,434,55,326
"43",44,"NEF_dryf_VINC_2025",3.836,-76.296,7,293,293,242,434,55,326
"44",45,"NEF_dryf_VINC_2025",3.836,-76.296,7,293,293,242,434,55,326
"45",46,"NEF_dryf_VINC_2025",3.836,-76.296,7,293,293,242,434,55,326
"46",47,"NEF_dryf_VINC_2025",3.836,-76.296,7,293,293,242,434,55,326
"47",48,"NEF_dryf_VINC_2025",3.836,-76.296,7,293,293,242,434,55,326
"48",49,"NEF_dryf_VINC_2025",3.836,-76.296,7,293,293,242,434,55,326
"49",50,"NEF_dryf_VINC_2025",3.836,-76.296,7,293,293,242,434,55,326
"50",51,"NEF_dryf_MATGUA_2025",4.028,-76.159,7,409,248,265,608,56,427
"51",52,"NEF_dryf_MATGUA_2025",4.028,-76.159,7,409,248,265,608,56,427
"52",53,"NEF_dryf_MATGUA_2025",4.028,-76.159,7,409,248,265,608,56,427
"53",54,"NEF_dryf_MATGUA_2025",4.028,-76.159,7,409,248,265,608,56,427
"54",55,"NEF_dryf_MATGUA_2025",4.028,-76.159,7,409,248,265,608,56,427
"55",56,"NEF_dryf_MATGUA_2025",4.028,-76.159,7,409,248,265,608,56,427
"56",57,"NEF_dryf_MATGUA_2025",4.028,-76.159,7,409,248,265,608,56,427
"57",58,"NEF_dryf_MATGUA_2025",4.028,-76.159,7,409,248,265,608,56,427
"58",59,"NEF_dryf_MATGUA_2025",4.028,-76.159,7,409,248,265,608,56,427
"59",60,"NEF_dryf_MATGUA_2025",4.028,-76.159,7,409,248,265,608,56,427
"60",61,"NEF_dryf_MATGUA_2025",4.028,-76.159,7,409,248,265,608,56,427
"61",62,"NEF_dryf_MATGUA_2025",4.028,-76.159,7,409,248,265,608,56,427
"62",63,"NEF_dryf_MATGUA_2025",4.028,-76.159,7,409,248,265,608,56,427
"63",64,"NEF_dryf_MATGUA_2025",4.028,-76.159,7,409,248,265,608,56,427
"64",65,"NEF_dryf_MATGUA_2025",4.028,-76.159,7,409,248,265,608,56,427
"65",66,"NEF_dryf_TAME_2025",5.784,-75.666,8,409,316,188,461,51,311
"66",67,"NEF_dryf_TAME_2025",5.784,-75.666,8,409,316,188,461,51,311
"67",68,"NEF_dryf_TAME_2025",5.784,-75.666,8,409,316,188,461,51,311
"68",69,"NEF_dryf_TAME_2025",5.784,-75.666,8,409,316,188,461,51,311
"69",70,"NEF_dryf_TAME_2025",5.784,-75.666,8,409,316,188,461,51,311
"70",71,"NEF_dryf_TAME_2025",5.784,-75.666,8,409,316,188,461,51,311
"71",72,"NEF_dryf_TAME_2025",5.784,-75.666,8,409,316,188,461,51,311
"72",73,"NEF_dryf_TAME_2025",5.784,-75.666,8,409,316,188,461,51,311
"73",74,"NEF_dryf_TAME_2025",5.784,-75.666,8,409,316,188,461,51,311
"74",75,"NEF_dryf_TAME_2025",5.784,-75.666,8,409,316,188,461,51,311
"75",76,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"76",77,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"77",78,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"78",79,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"79",80,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"80",81,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"81",82,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"82",83,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"83",84,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"84",85,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"85",86,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"86",87,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"87",88,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"88",89,"NEF_dryf_JABI_2025",5.058,-74.828,9,291,264,226,453,51,326
"89",90,"NEF_dryf_JABI_2025",5.058,-74.828,9,291,264,226,453,51,326
