PermanentID,location,morrone_biogeoregions_Region,morrone_biogeoregions_Dominio,morrone_biogeoregions_Provincias,climenv_holdridge_class,“”,biogeoregions_Provincias,ND,algal_parasite,animal_endosymbiont,animal_parasite,arbuscular_mycorrhizal,arthropod-associated,dung_saprotroph,ectomycorrhizal,epiphyte,ericoid_mycorrhizal,foliar_endophyte,lichen_parasite,lichenized,litter_saprotroph,moss_symbiont,mycoparasite,nectar/tap_saprotroph,plant_pathogen,pollen_saprotroph,protistan_parasite,root_endophyte,soil_saprotroph,sooty_mold,unspecified,unspecified_pathotroph,unspecified_saprotroph,unspecified_symbiotroph,wood_saprotroph,sample_type,Sum,Count,% ECM per sample,% ECM per sample_OK,,, Hill_q0, Hill_q1,,,,,,,,,,,,,,,,,,,,
GF01000692S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000692S,Parana Forest province,63,0,0,1,5,0,1,0,0,0,1,0,0,9,0,1,0,5,0,0,0,13,0,0,0,2,0,5,root,106,11,0,0,,,11,4.301892,,,,,,,,,,,,,,,,,,,,
GF01000693S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000693S,Parana Forest province,47,0,0,7,10,0,1,0,0,0,1,0,0,3,0,2,0,6,0,0,0,21,0,0,0,3,0,5,root,106,11,0,0,,,11,5.78234,,,,,,,,,,,,,,,,,,,,
GF01000694S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000694S,Parana Forest province,59,0,0,4,4,0,0,0,0,0,1,0,0,6,0,3,1,8,0,0,0,24,2,0,0,3,0,11,root,126,12,0,0,,,12,5.71783,,,,,,,,,,,,,,,,,,,,
GF01000695S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000695S,Parana Forest province,78,0,0,4,13,0,2,0,0,0,1,0,0,6,0,13,0,6,0,0,0,10,0,0,0,1,0,16,root,150,11,0,0,,,11,5.268557,,,,,,,,,,,,,,,,,,,,
GF01000696S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000696S,Parana Forest province,69,0,0,1,3,0,0,0,0,0,2,0,0,3,0,3,0,7,0,0,0,8,0,0,0,3,0,5,root,104,10,0,0,,,10,3.769049,,,,,,,,,,,,,,,,,,,,
GF01000697S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000697S,Parana Forest province,77,0,0,3,7,0,1,0,0,1,1,0,0,12,0,3,2,13,0,0,0,20,1,0,0,3,0,14,root,158,14,0,0,,,14,5.902042,,,,,,,,,,,,,,,,,,,,
GF01000698S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000698S,Parana Forest province,39,0,0,2,1,0,0,0,0,0,1,0,0,5,0,2,1,5,0,0,0,15,0,0,0,1,0,10,root,82,11,0,0,,,11,5.248963,,,,,,,,,,,,,,,,,,,,
GF01000699S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000699S,Parana Forest province,41,0,0,2,28,0,0,0,0,0,1,0,0,7,0,3,0,4,0,0,0,15,0,0,0,1,0,9,root,111,10,0,0,,,10,5.687867,,,,,,,,,,,,,,,,,,,,
GF01000700S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000700S,Parana Forest province,60,0,0,4,10,0,2,0,0,0,1,0,0,5,0,3,1,7,0,0,0,12,1,0,0,2,0,11,root,119,13,0,0,,,13,5.866971,,,,,,,,,,,,,,,,,,,,
GF01000701S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000701S,Parana Forest province,76,0,0,4,11,0,1,3,0,0,1,0,0,7,0,6,1,6,0,0,0,21,1,0,0,3,0,12,root,153,14,1.960784314,1.960784314,,,14,5.960602,,,,,,,,,,,,,,,,,,,,
