PermanentID,location,morrone_biogeoregions_Region,morrone_biogeoregions_Dominio,morrone_biogeoregions_Provincias,climenv_holdridge_class,“”,morrone_biogeoregions_Provincias,ND,algal_parasite,animal-associated,animal_endosymbiont,animal_parasite,arbuscular_mycorrhizal,arthropod-associated,dung_saprotroph,ectomycorrhizal,epiphyte,ericoid_mycorrhizal,foliar_endophyte,lichen_parasite,lichenized,litter_saprotroph,moss_symbiont,mycoparasite,nectar/tap_saprotroph,plant_pathogen,pollen_saprotroph,protistan_parasite,root_endophyte,soil_saprotroph,sooty_mold,unspecified,unspecified_pathotroph,unspecified_saprotroph,unspecified_symbiotroph,wood_saprotroph,sample_type,Sum,Count,% ECM per sample,% ECM per sample_ok,, Hill_q0,  Hill_q1
GF01000671S,"Yungas region of La Paz, Bolivia",Neotropical,South Brazilian,Yungas province,Dry forest|Moist forest,GF01000671S,Yungas province,15,0,0,0,1,0,0,0,0,0,0,1,0,0,9,0,1,0,11,0,0,0,11,2,0,0,2,0,5,root,58,10,0,0,,10,6.841741
GF01000672S,"Yungas region of La Paz, Bolivia",Neotropical,South Brazilian,Yungas province,Dry forest|Moist forest,GF01000672S,Yungas province,12,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,3,0,0,1,6,0,0,0,12,0,5,root,43,8,0,0,,8,5.952575
GF01000673S,"Yungas region of La Paz, Bolivia",Neotropical,South Brazilian,Yungas province,Dry forest|Moist forest,GF01000673S,Yungas province,24,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,1,0,0,0,0,6,0,0,0,3,0,3,root,43,8,0,0,,8,4.425471
GF01000674S,"Yungas region of La Paz, Bolivia",Neotropical,South Brazilian,Yungas province,Dry forest|Moist forest,GF01000674S,Yungas province,24,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,1,0,0,0,0,6,0,0,0,3,0,3,root,43,8,0,0,,8,4.425471
GF01000675S,"Yungas region of La Paz, Bolivia",Neotropical,South Brazilian,Yungas province,Dry forest|Moist forest,GF01000675S,Yungas province,24,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,10,0,0,0,18,0,0,0,10,0,3,root,75,8,0,0,,8,5.971689
GF01000676S,"Yungas region of La Paz, Bolivia",Neotropical,South Brazilian,Yungas province,Dry forest|Moist forest,GF01000676S,Yungas province,7,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,2,0,0,0,5,0,0,0,4,0,2,root,26,7,0,0,,7,6.021094
GF01000677S,"Yungas region of La Paz, Bolivia",Neotropical,South American Transition Zone,Puna province,Thorn steppe,GF01000677S,Puna province,49,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1,20,1,0,0,0,0,0,root,76,8,0,0,,8,2.759204
GF01000678S,"Yungas region of La Paz, Bolivia",Neotropical,South Brazilian,Yungas province,Dry forest|Moist forest,GF01000678S,Yungas province,13,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,3,0,0,0,5,0,0,0,3,0,9,root,39,8,0,0,,8,6.086764
GF01000679S,"Yungas region of La Paz, Bolivia",Neotropical,South Brazilian,Yungas province,Dry forest|Moist forest,GF01000679S,Yungas province,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,5,0,0,0,1,0,2,root,20,8,5,5,,8,5.431859
GF01000680S,"Yungas region of La Paz, Bolivia",Neotropical,South Brazilian,Yungas province,Dry forest|Moist forest,GF01000680S,Yungas province,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,5,0,4,root,19,5,0,0,,5,4.754478
GF01000681S,"Yungas region of La Paz, Bolivia",Neotropical,South Brazilian,Yungas province,Dry forest|Moist forest,GF01000681S,Yungas province,10,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,1,0,8,0,0,0,7,0,0,0,3,0,1,root,39,9,0,0,,9,7.032835
GF01000682S,"Yungas region of La Paz, Bolivia",Neotropical,South Brazilian,Yungas province,Dry forest|Moist forest,GF01000682S,Yungas province,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,2,0,0,root,13,5,0,0,,5,4.107213
GF01000683S,"Yungas region of La Paz, Bolivia",Neotropical,South American Transition Zone,Puna province,Dry forest|Moist forest,GF01000683S,Puna province,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,15,0,0,0,1,0,2,root,59,8,0,0,,8,3.175621
GF01000684S,"Yungas region of La Paz, Bolivia",Neotropical,South Brazilian,Yungas province,Dry forest|Moist forest,GF01000684S,Yungas province,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,2,root,19,5,0,0,,5,3.650174
GF01000685S,"Yungas region of La Paz, Bolivia",Neotropical,South Brazilian,Yungas province,Dry forest|Moist forest,GF01000685S,Yungas province,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,root,6,5,0,0,,5,4.762203
GF01000686S,"Yungas region of La Paz, Bolivia",Neotropical,South Brazilian,Yungas province,Dry forest|Moist forest,GF01000686S,Yungas province,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,root,10,4,0,0,,4,3.789291
GF01000687S,"Yungas region of La Paz, Bolivia",Neotropical,South Brazilian,Yungas province,Dry forest|Moist forest,GF01000687S,Yungas province,37,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,6,0,0,0,30,0,0,0,7,0,6,root,91,9,0,0,,9,4.573208
