new.ID,SampleID,latitud,longitud,area,pais,estado  ,localidad,submuestras,area_m2,ultimo_incendio,fecha de colecta,bioma,bioregion,ecoregion,nativeness,advertencia,delta15N,N_conc_g_kg,P_conc_mg_kg,abund,riqueza,mold_Eurotiales_Abundance,mold_Mortierellales_Abundance,mold_Mucorales_Abundance,mold_Trichoderma_Abundance,mold_Umbelopsidales_Abundance
AtlasMXA_G5134_2025,G5134,20.86,-90.14,Mexico:Yucatán:Bella Flor,México,Yucatán,Bella Flor,40,2500,40,43649,forest: subtropical broadleaf forest biome,Yucatan & Veracruz Mixed Forests Bioregion,Yucatan Dry Forests,,,2.045543746,17.85730444,48.51033732,6224,703,0.642673522,0.144601542,0.064267352,1.028277635,0
AtlasMXA_G5135_2025,G5135,19.77,-90.55,Mexico:Campeche,México,Campeche,Campeche,40,2500,50,43649,forest: tropical broadleaf forest biome,Yucatan & Veracruz Mixed Forests Bioregion,Yucatan Moist Forests,,,3.035507757,8.724105745,30.86174944,5254,1216,1.52264941,0.342596117,0.019033118,1.655881233,0.038066235
AtlasMXA_G5136_2025,G5136,19.08,-91.06,Mexico:Campeche:Noham,México,Campeche,Nohan,40,2500,100,43649,forest: tropical broadleaf forest biome,Yucatan & Veracruz Mixed Forests Bioregion,Mesoamerican Gulf-Caribbean Mangroves.,,,-0.588737984,5.651195464,77.43915553,4597,998,1.196432456,0.848379378,0.152273222,0.065259952,0
AtlasMXA_G5137_2025,G5137,20.68,-88.57,Mexico:Yucatán:Chichen Itza,México,Yucatán,Chichén Itzá,40,2500,100,43651,forest: subtropical broadleaf forest biome,Yucatan & Veracruz Mixed Forests Bioregion,Yucatan Dry Forests,,,3.410946695,11.13544978,34.99083086,3416,1006,0.526932084,0.117096019,0.029274005,0.322014052,0
AtlasMXA_G5138_2025,G5138,20.75,-88.47,Mexico:Yucatán:Kax Ek,México,Yucatán,San Francisco el Grande,40,2500,100,43651,forest: subtropical broadleaf forest biome,Yucatan & Veracruz Mixed Forests Bioregion,Yucatan Dry Forests,,,3.70079034,7.7779189,0.390965035,3639,873,1.676284694,0.109920308,0,0.934322616,0
AtlasMXA_G5139_2025,G5139,20.26,-87.39,Mexico:Cozumel,México,Quintana Roo,Tulsayab,40,2500,100,43652,forest: subtropical broadleaf forest biome,Yucatan & Veracruz Mixed Forests Bioregion,Yucatan Dry Forests,,,3.593704534,3.214139761,63.39815505,3653,442,1.532986586,0.191623323,0.191623323,0.328497126,0
AtlasMXA_MX10_2025,MX10,19.67,-100.29,Mexico:Michoacán:Mariposa Monarca,México,Michoacán,Santuario Mariposa Monarca,40,2500,100,42027,forest: tropical coniferous forest biome,Mexican Dry & Coniferous Forests Bioregion,Trans-mexican Volcanic belt Pine-Oak Forests,,,-0.944126969,11.96257352,2.273988439,4896,979,1.429738562,10.84558824,0.081699346,0.306372549,0.12254902
AtlasMXA_MX11_2025,MX11,19.68,-96.85,Mexico:Veracruz:Naolinco,México,Veracruz,Acatlán,40,2500,100,42031,forest: tropical broadleaf forest biome,Yucatan & Veracruz Mixed Forests Bioregion,Veracruz Moist Forests,,,-0.944878305,7.661940128,3.866792899,793,44,3.278688525,0.25220681,0,0,0.126103405
AtlasMXA_MX12_2025,MX12,18.58,-95.08,Mexico:Veracruz:Tuxtlas,México,Veracruz,El Cocal,40,2500,100,42032,forest: tropical broadleaf forest biome,Yucatan & Veracruz Mixed Forests Bioregion, Sierra De Los Tuxtlas ,,,0.884569004,8.006068784,4.310167658,768,37,0,0,0.130208333,0.130208333,0
AtlasMXA_MX13_2025,MX13,17.62,-92.47,Mexico:Tabasco:Agua blanca,México,Tabasco,Caparroso,40,2500,100,42033,forest: tropical broadleaf forest biome,Yucatan & Veracruz Mixed Forests Bioregion,Pantanos de Centla,,,3.126124402,4.230620287,12.94811922,3084,49,0,0,0,0,0
AtlasMXA_MX14_2025,MX14,16.88,-93.46,Mexico:Chiapas:Ocote,México,Chiapas,El Faro,40,2500,100,42034,forest: tropical broadleaf forest biome,Yucatan & Veracruz Mixed Forests Bioregion,Petén-Veracruz moist forests,,,0.75273553,3.32373993,0.769175162,212,20,0,0,0,0,0
AtlasMXA_MX15_2025,MX15,15.8,-96.11,Mexico:Oaxaca:Huatulco,México,Oaxaca,Crucecita,40,2500,100,42035,shrubland: tropical shrubland biome,Mexican Dry & Coniferous Forests Bioregion,Southern Pacific Dry Forests,,,6.892136755,5.362251399,57.7893627,7617,1863,1.956150716,0.879611396,0.196927924,0.196927924,0
AtlasMXA_MX16_2025,MX16,17.34,-96.47,Mexico:Oaxaca:Ixtlan,México,Oaxaca,Ixtlán de Juárez,40,2500,100,42036,forest: tropical coniferous forest biome,Mexican Dry & Coniferous Forests Bioregion,Sierra Madre de Oaxaca Pine-Oak Forests,,,1.491984488,6.298477276,1.025604964,11986,1766,1.735357918,3.762723177,0.083430669,1.401635241,1.126314033
AtlasMXA_MX17_2025,MX17,18.16,-97.3,Mexico:Puebla:Cuicatlan,México,Puebla,San Pedo Tetitlán,40,2500,100,42037,shrubland: xeric shrubland biome,Mexican Dry & Coniferous Forests Bioregion,Tehuacán Valley Matorral,,,6.239017281,7.613545519,195.1327767,2213,782,0.361500226,2.214188884,0.271125169,0.045187528,0
AtlasMXA_MX18_2025,MX18,20.16,-98.55,Mexico:Hidalgo:El Zembo,México,Hidalgo,Ixtula Sembo,40,2500,100,42060,forest: subtropical coniferous forest biome,Sierra Madre Forests and Mexican drylands bioregion,Sierra Madre Oriental Pine-Oak Forests,,,-0.608720258,5.068572715,3.474033149,6499,1468,0,1.369441453,0.123095861,0.200030774,1.092475766
AtlasMXA_MX19_2025,MX19,20.64,-98.6,Mexico:Hidalgo:Tizapan,México,Hidalgo,Tizapán,40,2500,100,42061,forest: subtropical broadleaf forest biome,Sierra Madre Forests and Mexican drylands bioregion,Meseta central matorral,,,-1.689381497,18.27638838,16.5248053,10106,1811,0.10884623,6.619829804,0.049475559,3.027904215,0.484860479
AtlasMXA_MX1a_2025,MX1a,19.51,-105.05,Mexico:Jalisco:Chamela,México,Jalisco,Chamela,40,2500,100,41944,forest: tropical broadleaf forest biome,Mexican Dry & Coniferous Forests Bioregion,Jalisco Dry Forests,,,5.729809634,6.215939157,19.8697487,2652,809,0.452488688,4.449472097,0.60331825,0.490196078,0
AtlasMXA_MX20_2025,MX20,20.48,-98.67,Mexico:Hidalgo:Meztitlan,México,Hidalgo,Venados,40,2500,100,42061,shrubland: montane shrubland biome,Sierra Madre Forests and Mexican drylands bioregion,Sierra Madre Oriental Pine-Oak Forests,,,5.614136712,4.089462138,190.4993728,5219,1382,0.038321518,0.843073386,0.210768346,0.038321518,0
