new.ID,SampleID,Codigo_Atlas,Latitud,Longitud,Concentracion_DNA,Rel_260_280,Fecha extraccion,pH,Humedad,NH4,NO3,HPO4,Ct ,Ci,Co,Nt,Pt,C_N,C_P,N_P,Cmic ,Nmic ,Cmic_Nmic,CO2,B-GLU,POX,LEU,FME,Estado,Localidad,Sitio,Altitud,Sistema,Clima,Tipo_suelo,Vegetacion_ general,Vegetacion_descripción,Tipo_manejo,Historia_manejo,Responsable,Recolector,Fecha_colecta
NEF_AtlasMXB_B01_2025,B01,MXB01_S,19.86,-97.986,20.4,1.99,45329,7.03,2.57,11.28048241,24.24,0,46.156,NA,NA,4.1445,0.332,11.13668718,139.0240964,12.48343373,124.2,56.5,2.2,80.0635767,0.013700516,2.703143657,0.241773807,0.03747494,Puebla,"Tuliman, Zacatlán",Milpa don Fernando,2220,agro,Templado semihúmedo,,Milpa tradicional,"Milpa con Maiz, frijol, calabaza, tomate, chayote, chile, quelites y arboles frutales",Milpa orgánica con rotación de cultivo y fertinización con composta de estiercol de vaca,Milpa tradicional orgánica por los últimos 10 años,Roberto Garibay,Bernardo Águila Salgado,01/07/2023
NEF_AtlasMXB_B02_2025,B02,MXB02_S,16.685,-92.981,13.6,2.06,45265,8.22,5.05,21.65153768,13.585,0,74.322,NA,NA,6.086125,0.369125,12.21171106,201.3464274,16.48797833,961.2,53.8,17.9,195.8677738,0.06781072,0.611594807,0.22989488,0.17448856,Chiapas,"Rancho El Recuerdo, Chiapa de Corzo",El Recuerdo,420,forestal,Tropical húmedo,Leptosol,Selva tropical húmeda,Selva mediana perennifolia- Coccoloba tunii de 15 m,Bosque maduro,Bosque maduro,Julieta Alvarez,Julieta Alvarez Manjarrez,08/09/2023
NEF_AtlasMXB_B03_2025,B03,MXB03_S,16.72,-93.121,15.6,2.03,45265,7.89,4.37,4.363463886,12.93,0,71.256,NA,NA,6.895625,0.11925,10.33350857,597.5345912,57.82494759,775.9,49.9,15.6,244.6607857,0.011495054,0.511874399,0.275470751,0.228258923,Chiapas,"Ejido Copoya, Tuxtla Gutiérrez",Copoya,863,forestal,Tropical semihúmedo,Somerorendzic Leptosol,Bosque de Gymnopodium floribundum,"Bosque maduro de Gymnopodium floribundum, compuesto por individuos de mayor ramificación y DAP de ramas y con presencia de un pequeño manchón de Quercus aledaño",Sujeto a recolecta de hongos silvestres comestibles,Bosque maduro,Julieta Alvarez,Ezequiel Alberto Cruz Campuzano,13/09/2023
NEF_AtlasMXB_B04_2025,B04,MXB04_S,16.649,-93.056,14.4,2.02,45265,7.8,4.03,9.493688363,9.525,0,53.068,NA,NA,5.722375,0.10275,9.273771817,516.4768856,55.69221411,242.8,51.7,4.7,175.0547046,0.042950816,1.811272041,0.333380143,0.236434015,Chiapas,"Carrillo Puerto, Chiapa de Corzo",Carrillo Puerto,764,forestal,Tropical semihúmedo,Leptic Luvisol,Bosque de Gymnopodium floribundum,"Bosque intermedio de Gymnopodium floribundum, compuesto por individuos con poca ramificación y otros de mayor ramificación y DAP de ramas",Sujeto a recolecta de hongos silvestres comestibles,Bosque maduro,Julieta Alvarez,Ezequiel Alberto Cruz Campuzano,17/09/2023
NEF_AtlasMXB_B05_2025,B05,MXB05_S,16.776,-93.144,12.6,2.04,45265,8.01,5.03,11.2399598,17.805,0,119.708,NA,NA,6.91775,0.172,17.30447038,695.9767442,40.21947674,1678.2,177.1,9.5,732.8887329,0.031830037,0.502349752,0.274895775,0.082262044,Chiapas,"Cueva de Laguitos, Tuxtla Gutiérrez",Cueva de Laguitos,807,forestal,Tropical semihúmedo,Petrocalcic Leptosol,Bosque de Gymnopodium floribundum,"Bosque intermedio de Gymnopodium floribundum, compuesto por individuos con poca ramificación y otros de mayor ramificación y DAP de ramas",Sujeto a recolecta de hongos silvestres comestibles,Bosque maduro,Julieta Alvarez,Ezequiel Alberto Cruz Campuzano,22/09/2023
NEF_AtlasMXB_B06_2025,B06,MXB06_S,19.478,-97.262,12.6,2.02,45343,7.8,0.89,2.67839196,0,0,6.434,NA,NA,0.908875,0.08775,7.079081282,73.32193732,10.35754986,212.9,21.4,9.9,199.7967332,0.042959309,1.720811241,0.42733338,0.340236415,Veracruz,"San Antonio Tenextepec, Perote",Tenextepec 01,2552,forestal,Seco templado y semifrío semiseco,"Confluencia de regosol, leptosol y una pequeña franja de fluvisol",Plantación de Pinus cembroides,Árboles de Pinus cembroides de aproximadamente 17 años,Plantación sujeta a corte de piñón y podas ocasionales. En una franja de la plantación se adicionó estiércol de rumiante. Adición de plántulas de regeneración natural dentro del área de la plantación,"Plantación establecida por poblador local, sin incluir fertilizantes y con una separación de alrededor de 2 m entre los árboles",Rosario Medel,José Alfredo,07/09/2023
NEF_AtlasMXB_B07_2025,B07,MXB07_S,19.484,-97.219,14.4,2.08,45343,6.41,4.06,2.51470385,0,18.36892892,21.138,NA,NA,1.67425,0.52625,12.62535464,40.1672209,3.181472684,607.8,39,15.6,187.5864238,0.116621393,0.447479239,0.15545427,0.126032944,Veracruz,"San Antonio Tenextepec, Perote",Tenextepec 02,2819,forestal,Seco templado y semifrío semiseco,"Confluencia de regosol, leptosol y una pequeña franja de fluvisol",Plantación de Pinus cembroides,Árboles de Pinus cembroides de aproximadamente siete años,"Plantación sujeta a corte de piñón. Las franjas de árboles se encuentran intercalados con un cultivo de maíz, por lo que el suelo se encuentra removido","Plantación establecida por poblador local, con una separación de alrededor de 2 m entre los árboles",Rosario Medel,José Alfredo,07/09/2023
NEF_AtlasMXB_B08_2025,B08,MXB08_S,19.61,-97.383,13.9,2.09,45266,9.59,0.55,0.733551402,0.615,0,7.032,NA,NA,0.53525,0.106,13.13778608,66.33962264,5.049528302,473.4,10.8,43.9,217.2158006,0.167781552,0.032440837,0.270819163,0.12014475,Veracruz,"San José de los Molinos, Perote",Frijol Colorado 01,2680,forestal,Clima de transición entre seco templado/semifrío semiseco y templado subhúmedo,"Leptosol, andosol",Reforestación de Pinus cembroides,Árboles de Pinus cembroides de entre 12 y 15 años,Sitio sujeto a corte de piñón,Reforestación establecida hace entre 12 y 15 años después de la explotación del sitio para extracción de tepecil. Manejo intensivo del suelo previo al establecimiento de los árboles,Rosario Medel,José Alfredo,14/09/2023
NEF_AtlasMXB_B09_2025,B09,MXB09_S,19.601,-97.39,13.8,1.99,45266,8.25,0.6,2.600339321,0,0,11.822,NA,NA,0.986125,0.0265,11.98833819,446.1132075,37.21226415,278.3,26.6,10.4,277.6795506,0.099924723,0.050555788,0.189580501,0.118882773,Veracruz,"San José de los Molinos, Perote",Frijol Colorado 02,2591,forestal,Clima de transición entre seco templado/semifrío semiseco y templado subhúmedo,"Leptosol, andosol",Bosque de Pinus cembroides,"Árboles maduros de Pinus cembroides, especies de Opuntia, Agave, Yucca, cactáceas y otras plantas típicas de zonas semiáridas",Sitio cercano a un banco de explotación de tepecil y milpas en la base del cerro,Bosque maduro de Pinus cembroides perturbado,Rosario Medel,José Alfredo,23/09/2023
NEF_AtlasMXB_B10_2025,B10,MXB10_S,19.612,-97.388,36.8,2.01,45266,7.2,1.03,4.188318408,0.08,0,27.768,NA,NA,1.918,0.01075,14.47758081,2583.069767,178.4186047,796.1,73.5,10.8,206.1287195,0.188020106,0.113458741,0.1255985,0.345496862,Veracruz,"San José de los Molinos, Perote",Frijol Colorado 03,2668,forestal,Clima de transición entre seco templado/semifrío semiseco y templado subhúmedo,"Leptosol, andosol",Bosque de Pinus cembroides,"Bosque maduro de Pinus cembroides con presencia de ""enebros (Juniperus deppeana)"" y plantas típicas de zonas semiáridas","Probablemente algunos árboles estén expuestos a recolección de piñón, generación de brechas y caminos para el acceso de las personas",Bosque maduro,Rosario Medel,José Alfredo,14/09/2023
NEF_AtlasMXB_B11_2025,B11,MXB11_S,19.593,-97.211,30.4,2.05,45266,7,0.83,5.452070858,0,0,15.185,NA,NA,1.145625,0.0785,13.2547736,193.4394904,14.59394904,653.4,28.2,23.2,139.1402493,0.005146613,0.052552197,0.263269047,0.013064479,Veracruz,"San José de los Molinos, Perote",Exhacienda Los Molinos,2447,forestal,Templado suhhúmedo en confluencia con el seco templado,Regosol confluyendo con andosol,Plantación de Pinus cembroides,"Árboles de Pinus cembroides de aproximadamente 30 años, con algunos árboles de Pinus eldarica intercalados","La plantación se estableció a través de un proyecto coordinado por académicos del INIFOR de la UV, bajo un tratamiento experimental. Al inicio se aplicaron deshierbes, chapeos y ruedos. La plantación está sujeta al corte de piñón","Plantación establecida en 1992, cubre un área de aproximadamente 0.75 ha., con una distancia de 2.5 m entre los árboles",Rosario Medel,José Alfredo,13/10/2023
NEF_AtlasMXB_B12_2025,B12,MXB12_S,19.605,-97.379,33,1.99,45267,7.6,0.67,3.128096677,0,0,22.431,NA,NA,1.828375,0.1225,12.26827101,183.1102041,14.9255102,876.4,48.4,18.1,295.9314284,0.175481442,0.090562762,0.107897373,0.216189975,Veracruz,"San José de los Molinos, Perote",Frijol Colorado 04,2552,forestal,Clima de transición entre seco templado/semifrío semiseco y templado subhúmedo,"Leptosol, andosol",Bosque de Pinus cembroides (parche),"Árboles de Pinus cembroides y algunas plantas características de áreas semiáridas (cactáceas, palmillas, etc.)",Sitio cercano a un banco de explotación de tepecil y ubicado al lado de carretera de asfalto,Remanente de bosque maduro,Rosario Medel,José Alfredo,13/10/2023
NEF_AtlasMXB_B13_2025,B13,MXB13_S,19.516,-97.431,33.4,1.97,45267,6.86,0.83,6.095114201,5.825,0,23.514,NA,NA,1.971375,0.038125,11.92771543,616.7606557,51.70819672,941.4,22.3,42.2,278.26274,0.117572808,0.011886048,0.193183603,0.210601797,Puebla,"Guadalupe Sarabia, Puebla",Cerro Pizarro 01,2612,forestal,Seco templado y semifrío semiseco,Leptosol,Bosque de Pinus cembroides,"Bosque maduro de Pinus cembroides con presencia de los géneros Yucca y Nolina, así como especies de pastos, cactáceas, magueyes, herbáceas y arbustos",Árboles sujetos a recolección de piñón,Bosque maduro,Rosario Medel,José Alfredo,27/10/2023
NEF_AtlasMXB_B14_2025,B14,MXB14_S,19.518,-97.434,35,1.93,45267,8.81,0.59,3.301603206,0,0,11.134,NA,NA,0.8095,0.025,13.75416924,445.36,32.38,761.3,59.5,12.8,458.7519614,0.067139736,0.0455825,0.263029788,0.088466475,Puebla,"Guadalupe Sarabia, Puebla",Cerro Pizarro 02,2605,forestal,Seco templado y semifrío semiseco,Leptosol,Bosque de Pinus cembroides,"Bosque maduro de Pinus cembroides con presencia de los géneros Yucca y Nolina, así como especies de pastos, cactáceas, magueyes, herbáceas y arbustos",Árboles sujetos a recolección de piñón,Bosque maduro,Rosario Medel,José Alfredo,27/10/2023
NEF_AtlasMXB_B15_2025,B15,MXB15_S,21.084,-105.176,33.9,2.01,45267,6.8,2.93,15.74521042,11.84,0,43.854,NA,NA,3.964125,0.544875,11.06271876,80.4845148,7.275292498,808.2,78.1,10.4,290.4820766,0.033570112,0.539449229,0.205869722,0.14803206,Nayarit,"Altavista, Compostela",Sierra de Vallejo 01,300,forestal,-,,Selva mediana subcaducifolia,Conservado,,,Rocío Vega Frutis,Rocío Vega Frutis,08/10/2023
NEF_AtlasMXB_B16_2025,B16,MXB16_S,21.082,-105.17,34.8,2.02,45267,6.75,2.27,3.9039,5.205,0,24.661,NA,NA,2.8235,0.38525,8.734195148,64.01297859,7.329007138,158.3,24.9,6.4,104.355585,0.015265238,3.352506205,0.262321068,0.049411166,Nayarit,"Altavista, Compostela",Sierra de Vallejo 02,300,agro,-,,Selva mediana subcaducifolia,Degradado,,,Rocío Vega Frutis,Rocío Vega Frutis,09/10/2023
