"","plot_id","site_id","site_name","habitat","seq_run","latitude","longitude","project"
"ANT1-1","ANT1","ANT","Ferme Antoinette","Pasture","BING",5.36904,-53.01705,"BING"
"ANT1-16","ANT1","ANT","Ferme Antoinette","Pasture","BING",5.36904,-53.01705,"BING"
"ANT1-20","ANT1","ANT","Ferme Antoinette","Pasture","BING",5.36904,-53.01705,"BING"
"ANT1-5","ANT1","ANT","Ferme Antoinette","Pasture","BING",5.36904,-53.01705,"BING"
"ANT1-C","ANT1","ANT","Ferme Antoinette","Pasture","BING",5.36904,-53.01705,"BING"
"ANT2-0","ANT2","ANT","Ferme Antoinette","Pasture","BING",5.37259,-53.01238,"BING"
"ANT2-1","ANT2","ANT","Ferme Antoinette","Pasture","BING",5.37259,-53.01238,"BING"
"ANT2-16","ANT2","ANT","Ferme Antoinette","Pasture","BING",5.37259,-53.01238,"BING"
"ANT2-5","ANT2","ANT","Ferme Antoinette","Pasture","BING",5.37259,-53.01238,"BING"
"ANT2-C","ANT2","ANT","Ferme Antoinette","Pasture","BING",5.37259,-53.01238,"BING"
"BRI1-1","BRI1","BRI","Brigandin","Savannah","BING",5.41225,-52.99675,"BING"
"BRI1-5","BRI1","BRI","Brigandin","Savannah","BING",5.41225,-52.99675,"BING"
"BuffP0-1","BuffP0","BUFF","Ferme Buffard","Pasture","BING",5.08031,-52.5892,"BING"
"BuffP0-5","BuffP0","BUFF","Ferme Buffard","Pasture","BING",5.08031,-52.5892,"BING"
"BuffP22-1","BuffP22","BUFF","Ferme Buffard","Pasture","BING",5.07267,-52.58036,"BING"
"BuffP22-5","BuffP22","BUFF","Ferme Buffard","Pasture","BING",5.07267,-52.58036,"BING"
"BuffP22-C","BuffP22","BUFF","Ferme Buffard","Pasture","BING",5.07267,-52.58036,"BING"
"BuffP25-16","BuffP25","BUFF","Ferme Buffard","Pasture","BING",5.07467,-52.58561,"BING"
"BuffP25-20","BuffP25","BUFF","Ferme Buffard","Pasture","BING",5.07467,-52.58561,"BING"
"BuffP25-5","BuffP25","BUFF","Ferme Buffard","Pasture","BING",5.07467,-52.58561,"BING"
"BuffP25-C","BuffP25","BUFF","Ferme Buffard","Pasture","BING",5.07467,-52.58561,"BING"
"CABE1-1","CABE1","CABE","Ferme Burban","Pasture","BING",5.01178,-52.63573,"BING"
"CABE1-20","CABE1","CABE","Ferme Burban","Pasture","BING",5.01178,-52.63573,"BING"
"CABE1-5","CABE1","CABE","Ferme Burban","Pasture","BING",5.01178,-52.63573,"BING"
"CABE2-1","CABE2","CABE","Ferme Burban","Pasture","BING",5.00921,-52.63306,"BING"
