"","new.ID","X","sample_id","Composite","tokeep_NEF","pH","CE","Pw","sat","C_org","P","K","Ca","Mg","Na","CIC","Fe","Mn","Cu","Zn","B","X.Sand","X.Silt","X.Cray","code_name","dispositif","loc","landuse","plot","valley","PC1_soil","PC2_soil","x","y","z","tropical_microclimate_daily_value","tropical_microclimate_day_value","tropical_microclimate_night_value","soil_temp_0_5_value","soil_temp_5_15_value","NDVI_value","Colombia_ALOS_Topography_30m_value","HFI","ARD","Aridity","Isoth","SRad","PET","TAP","TPdriest","WVP","Wind","PC1_clim","PC2_clim","samples_aggregation"
"1","NEF_dryf_TAM_2025",1,"P01S07","P01Q1","yes",7.4,0.445,"1.667.219","6.100.033","2.871.784","2.355.158","3.366.689","5.117.088","8.740.717","1.659.209","3.880.127","1.115.798","1.037.534","1.588.245","2.584.177",0.4452049,"4.265.968.691","3.212.684.354","2.521.346.955","P01",2,"TAM","undisturbed","TAM","Patia","190.419.985.362.429","241.418.694.311.166",-77.31,1.674,623,"0","0","0","229.130.382.537.842","215.799.255.371.094",0.586671411991119,0.819414258003235,62.5,138,1.94,91.78,159.45,1400.8,721.4,52.4,2.36,0.96,"-19.087.045.734.332","-318.132.590.402.109","P01S01"
"2","NEF_dryf_TAM_2025",2,"P01S08","P01Q1","yes",7.4,0.445,"1.667.219","6.100.033","2.871.784","2.355.158","3.366.689","5.117.088","8.740.717","1.659.209","3.880.127","1.115.798","1.037.534","1.588.245","2.584.177",0.4452049,"4.265.968.691","3.212.684.354","2.521.346.955","P01",2,"TAM","undisturbed","TAM","Patia","190.419.985.362.429","241.418.694.311.166",-77.31,1.674,623,"0","0","0","229.130.382.537.842","215.799.255.371.094",0.586671411991119,0.819414258003235,62.5,138,1.94,91.78,159.45,1400.8,721.4,52.4,2.36,0.96,"-19.087.045.734.332","-318.132.590.402.109","P01S01"
"3","NEF_dryf_TAM_2025",3,"P01S09","P01Q3","yes",7.24,0.473,"1.965.793","6.967.663","30.431","3.889.133","5.029.116","4.700.519","8.497.054","1.152.825","3.564.626","1.101.067","1.200.219","1.840.686","2.635.612",0.524014,"4.453.060.724","2.610.324.525","2.936.614.751","P01",2,"TAM","undisturbed","TAM","Patia","227.272.593.635.074","279.944.726.999.542",-77.31,1.674,623,"0","0","0","229.130.382.537.842","215.799.255.371.094",0.586671411991119,0.819414258003235,62.5,138,1.94,91.78,159.45,1400.8,721.4,52.4,2.36,0.96,"-190.870.457.343.319","-318.132.590.402.108","P01S09"
"4","NEF_dryf_TAM_2025",4,"P01S10","P01Q3","yes",7.24,0.473,"1.965.793","6.967.663","30.431","3.889.133","5.029.116","4.700.519","8.497.054","1.152.825","3.564.626","1.101.067","1.200.219","1.840.686","2.635.612",0.524014,"4.453.060.724","2.610.324.525","2.936.614.751","P01",2,"TAM","undisturbed","TAM","Patia","227.272.593.635.074","279.944.726.999.542",-77.31,1.674,623,"0","0","0","229.130.382.537.842","215.799.255.371.094",0.586671411991119,0.819414258003235,62.5,138,1.94,91.78,159.45,1400.8,721.4,52.4,2.36,0.96,"-190.870.457.343.319","-318.132.590.402.108","P01S09"
"5","NEF_dryf_TAM_2025",5,"P01S15","P01Q3","yes",7.24,0.473,"1.965.793","6.967.663","30.431","3.889.133","5.029.116","4.700.519","8.497.054","1.152.825","3.564.626","1.101.067","1.200.219","1.840.686","2.635.612",0.524014,"4.453.060.724","2.610.324.525","2.936.614.751","P01",2,"TAM","undisturbed","TAM","Patia","227.272.593.635.074","279.944.726.999.542",-77.31,1.674,623,"0","0","0","229.130.382.537.842","215.799.255.371.094",0.586671411991119,0.819414258003235,62.5,138,1.94,91.78,159.45,1400.8,721.4,52.4,2.36,0.96,"-190.870.457.343.319","-318.132.590.402.108","P01S09"
"15","NEF_dryf_VINC_2025",15,"P03S01","P03Q1","yes",6.93,0.818,"3.460.418","8.276.833","315.621","6.765.978","4.877.124","3.754.016","1.657.378","6.091.749","4.535.885","241.965","1.394.584","3.794.514","4.415.897",0.6581365,"3.544.069.775","3.269.349.438","3.186.580.788","P03",1,"VINC","undisturbed","VINC","Cauca","490.736.615.187.211","24.208.757.143.577",-76.296,3.836,1016,"184.369.258.880.615","197.624.340.057.373","185.750.675.201.416","215.538.578.033.447","210.830.612.182.617",0.871298134326935,0.291250973939896,65,144,0.97,93.3,169.95,1161.3,1192.4,168.5,2.14,0.87,"-337.932.020.314.934","-177.842.037.462.718","P03S01"
"16","NEF_dryf_VINC_2025",16,"P03S02","P03Q1","yes",6.93,0.818,"3.460.418","8.276.833","315.621","6.765.978","4.877.124","3.754.016","1.657.378","6.091.749","4.535.885","241.965","1.394.584","3.794.514","4.415.897",0.6581365,"3.544.069.775","3.269.349.438","3.186.580.788","P03",1,"VINC","undisturbed","VINC","Cauca","490.736.615.187.211","24.208.757.143.577",-76.296,3.836,1016,"184.369.258.880.615","197.624.340.057.373","185.750.675.201.416","215.538.578.033.447","210.830.612.182.617",0.871298134326935,0.291250973939896,65,144,0.97,93.3,169.95,1161.3,1192.4,168.5,2.14,0.87,"-337.932.020.314.934","-177.842.037.462.718","P03S01"
"17","NEF_dryf_VINC_2025",17,"P03S06","P03Q2","yes",6.92,0.957,"5.126.655","9.461.399","4.480.909","4.980.482","3.111.833","5.109.864","2.137.816","1.605.284","4.153.838","2.857.616","1.113.102","4.237.024","5.228.369",0.8626832,"3.650.349.871","2.901.495.921","3.448.154.207","P03",1,"VINC","undisturbed","VINC","Cauca","656.331.745.523.152","230.133.048.995.055",-76.296,3.836,1016,"184.369.258.880.615","197.624.340.057.373","185.750.675.201.416","215.538.578.033.447","210.830.612.182.617",0.871298134326935,0.291250973939896,65,144,0.97,93.3,169.95,1161.3,1192.4,168.5,2.14,0.87,"-337.932.020.314.934","-177.842.037.462.718","P03S05"
"18","NEF_dryf_VINC_2025",18,"P03S07","P03Q2","yes",6.92,0.957,"5.126.655","9.461.399","4.480.909","4.980.482","3.111.833","5.109.864","2.137.816","1.605.284","4.153.838","2.857.616","1.113.102","4.237.024","5.228.369",0.8626832,"3.650.349.871","2.901.495.921","3.448.154.207","P03",1,"VINC","undisturbed","VINC","Cauca","656.331.745.523.152","230.133.048.995.055",-76.296,3.836,1016,"184.369.258.880.615","197.624.340.057.373","185.750.675.201.416","215.538.578.033.447","210.830.612.182.617",0.871298134326935,0.291250973939896,65,144,0.97,93.3,169.95,1161.3,1192.4,168.5,2.14,0.87,"-337.932.020.314.934","-177.842.037.462.718","P03S05"
"19","NEF_dryf_VINC_2025",19,"P03S08","P03Q2","yes",6.92,0.957,"5.126.655","9.461.399","4.480.909","4.980.482","3.111.833","5.109.864","2.137.816","1.605.284","4.153.838","2.857.616","1.113.102","4.237.024","5.228.369",0.8626832,"3.650.349.871","2.901.495.921","3.448.154.207","P03",1,"VINC","undisturbed","VINC","Cauca","656.331.745.523.152","230.133.048.995.055",-76.296,3.836,1016,"184.369.258.880.615","197.624.340.057.373","185.750.675.201.416","215.538.578.033.447","210.830.612.182.617",0.871298134326935,0.291250973939896,65,144,0.97,93.3,169.95,1161.3,1192.4,168.5,2.14,0.87,"-337.932.020.314.934","-177.842.037.462.718","P03S05"
