"","new.ID","SampleID","Country","Site_name","Province","Latitude","Longitude","Grid_Size","Soil_Depth","Vegetation","Land_use","Ecosystem","Elevation_masl","Date_collected","Sequencing_platform","Sequencing_facility","PrimerF","PrimerR","Expedition.leader","Collaborators","X","X.1","X.2","X.3","X.4","X.5","X.6"
"1","NEF_long_P1_2025","LT_P1","French Guiana","Nouragues",NA,4.0283167,-52.67785,60,10,"dominance de bambous du genre Lasiacis","past","Tropical broadleaf forests",NA,106,"GeT-PlaGe","Miseq","Fung02","Fung02","M.Roy","G.Odonne",NA,NA,NA,NA,NA,NA,NA
"2","NEF_long_P2_2025","LT_P2","French Guiana","Nouragues",NA,4.0277833,-52.6780333333333,60,10,"de nombreux Astrocaryum paramaca","past","Tropical broadleaf forests",NA,97,"GeT-PlaGe","Miseq","Fung02","Fung02","M.Roy","G.Odonne",NA,NA,NA,NA,NA,NA,NA
"3","NEF_long_P3_2025","LT_P3","French Guiana","Nouragues",NA,4.0287667,-52.6818166666667,60,10,"prédominance de palmiers Oenocarpus bataua","past","Tropical broadleaf forests",NA,104,"GeT-PlaGe","Miseq","Fung02","Fung02","M.Roy","G.Odonne",NA,NA,NA,NA,NA,NA,NA
"4","NEF_long_P4_2025","LT_P4","French Guiana","Nouragues",NA,4.03365,-52.6828,60,10,"","none","Tropical broadleaf forests",NA,59,"GeT-PlaGe","Miseq","Fung02","Fung02","M.Roy","G.Odonne",NA,NA,NA,NA,NA,NA,NA
"5","NEF_long_P5_2025","LT_P5","French Guiana","Nouragues",NA,4.03705,-52.6826666666667,60,10,"Lasiacis, Heliconia, Costus, Euterpe","none","Tropical broadleaf forests",NA,45,"GeT-PlaGe","Miseq","Fung02","Fung02","M.Roy","G.Odonne",NA,NA,NA,NA,NA,NA,NA
"6","NEF_long_P6_2025","LT_P6","French Guiana","Nouragues",NA,4.0383,-52.68255,60,10,"arbres diametre élevés","none","Tropical broadleaf forests",NA,121,"GeT-PlaGe","Miseq","Fung02","Fung02","M.Roy","G.Odonne",NA,NA,NA,NA,NA,NA,NA
"7","NEF_long_P7_2025","LT_P7","French Guiana","Nouragues",NA,4.0392667,-52.6836833333333,60,10,"Oenocarpus bacaba en contrebas, cambrouse à Lasiacis","past","Tropical broadleaf forests",NA,126,"GeT-PlaGe","Miseq","Fung02","Fung02","M.Roy","G.Odonne",NA,NA,NA,NA,NA,NA,NA
"8","NEF_long_P8_2025","LT_P8","French Guiana","Nouragues",NA,4.0287667,-52.6818166666667,60,10,"prédominance de palmiers Oenocarpus bataua","past","Tropical broadleaf forests",NA,104,"GeT-PlaGe","Miseq","Fung02","Fung02","M.Roy","G.Odonne",NA,NA,NA,NA,NA,NA,NA
"9","NEF_long_P9_2025","LT_P9","French Guiana","Nouragues",NA,4.0794167,-52.6716833333333,60,10,"","past","Tropical broadleaf forests",NA,NA,"GeT-PlaGe","Miseq","Fung02","Fung02","M.Roy","G.Odonne",NA,NA,NA,NA,NA,NA,NA
"10","NEF_long_P10_2025","LT_P10","French Guiana","Nouragues",NA,4.0813333,-52.6731,60,10,"absence de grands palmiers","none","Tropical broadleaf forests",NA,NA,"GeT-PlaGe","Miseq","Fung02","Fung02","M.Roy","G.Odonne",NA,NA,NA,NA,NA,NA,NA
"11","NEF_long_P11_2025","LT_P11","French Guiana","Nouragues",NA,4.0789833,-52.6741666666667,60,10,"nombreux oenocarpus spp.","past","Tropical broadleaf forests",NA,NA,"GeT-PlaGe","Miseq","Fung02","Fung02","M.Roy","G.Odonne",NA,NA,NA,NA,NA,NA,NA
"12","NEF_long_P12_2025","LT_P12","French Guiana","Nouragues",NA,4.0834667,-52.67375,60,10,"arbres élevés, diametre élevés, astrocaryum sciophyllum","none","Tropical broadleaf forests",NA,NA,"GeT-PlaGe","Miseq","Fung02","Fung02","M.Roy","G.Odonne",NA,NA,NA,NA,NA,NA,NA
