"","new.ID","SampleID","Country","Site_name","Province","SampleID.1","Latitude","Longitude","Grid_Size","Soil_Depth","Vegetation","Land_use","Ecosystem","Elevation_masl","Date_collected","Sequencing_platform","Sequencing_facility","PrimerF","PrimerR","Expedition.leader","Collaborators"
"1","NEF_mymo_MYMO1_2025","MYMO1","Argentina","Sorocayense","San Juan","MYMOM1",-31.558973,-69.438429,"30*30",10,"cf","Non Agricultural","Monte",1560,"12/15/2023","Genomique_Quebec","Miseq",NA,NA,"MROY","David Jose de la Cruz Lopez"
"2","NEF_mymo_MYMO10_2025","MYMO10","Argentina","Canota","Mendoza","MYMOM10",-32.56387,-68.882036,"30*30",10,"cf","Non Agricultural","Monte",952,"12/21/2023","Genomique_Quebec","Miseq",NA,NA,"MROY","David Jose de la Cruz Lopez"
"3","NEF_mymo_MYMO11_2025","MYMO11","Argentina","Canota","Mendoza","MYMOM11",-32.557638,-68.903937,"30*30",10,"cf","Non Agricultural","Monte",1004,"12/21/2023","Genomique_Quebec","Miseq",NA,NA,"MROY","David Jose de la Cruz Lopez"
"4","NEF_mymo_MYMO12_2025","MYMO12","Argentina","Canota","Mendoza","MYMOM12",-32.547058,-68.927196,"30*30",10,"cf","Non Agricultural","Monte",1125,"12/21/2023","Genomique_Quebec","Miseq",NA,NA,"MROY","David Jose de la Cruz Lopez"
"5","NEF_mymo_MYMO13_2025","MYMO13","Argentina","Piedras Viejas","Mendoza","MYMOM13",-32.904521,-69.010072,"30*30",10,"cf","Non Agricultural","Monte",1542,"12/21/2023","Genomique_Quebec","Miseq",NA,NA,"MROY","David Jose de la Cruz Lopez"
"6","NEF_mymo_MYMO15_2025","MYMO15","Argentina","Piedras Viejas","Mendoza","MYMOM15",-32.905424,-68.99788,"30*30",10,"cf","Non Agricultural","Monte",1454,"12/21/2023","Genomique_Quebec","Miseq",NA,NA,"MROY","David Jose de la Cruz Lopez"
"7","NEF_mymo_MYMO16_2025","MYMO16","Argentina","Carrera","Mendoza","MYMOM16",-33.162976,-69.257155,"30*30",10,"cf","Non Agricultural","Monte",1926,"01/03/2024","Genomique_Quebec","Miseq",NA,NA,"MROY","David Jose de la Cruz Lopez"
"8","NEF_mymo_MYMO17_2025","MYMO17","Argentina","Gualtallary","Mendoza","MYMOM17",-33.391481,-69.244708,"30*30",10,"cf","Non Agricultural","Monte",1322,"01/04/2024","Genomique_Quebec","Miseq",NA,NA,"MROY","David Jose de la Cruz Lopez"
"9","NEF_mymo_MYMO18_2025","MYMO18","Argentina","Carrizal","Mendoza","MYMOM18",-33.131668,-68.68474,"30*30",10,"cf","Non Agricultural","Monte",717,"01/04/2024","Genomique_Quebec","Miseq",NA,NA,"MROY","David Jose de la Cruz Lopez"
"10","NEF_mymo_MYMO19_2025","MYMO19","Argentina","Lulunta","Mendoza","MYMOM19",-33.06844,-68.83204,"30*30",10,"cf","Non Agricultural","Monte",954,"01/06/2024","Genomique_Quebec","Miseq",NA,NA,"MROY","David Jose de la Cruz Lopez"
"11","NEF_mymo_MYMO2_2025","MYMO2","Argentina","Hilario","San Juan","MYMOM2",-31.486755,-69.401161,"30*30",10,"cf","Non Agricultural","Monte",1500,"12/14/2023","Genomique_Quebec","Miseq",NA,NA,"MROY","David Jose de la Cruz Lopez"
"12","NEF_mymo_MYMO20_2025","MYMO20","Argentina","Naoki","Mendoza","MYMOM20",-33.188408,-68.879366,"30*30",10,"cf","Non Agricultural","Monte",934,"01/16/2024","Genomique_Quebec","Miseq",NA,NA,"MROY","David Jose de la Cruz Lopez"
"13","NEF_mymo_MYMO21_2025","MYMO21","Argentina","Estocada","Mendoza","MYMOM21",-33.428744,-69.206689,"30*30",10,"cf","Non Agricultural","Monte",1162,"01/16/2024","Genomique_Quebec","Miseq",NA,NA,"MROY","David Jose de la Cruz Lopez"
"14","NEF_mymo_MYMO22_2025","MYMO22","Argentina","Tupungato","Mendoza","MYMOM22",-33.395,-69.18056,"30*30",10,"cf","Non Agricultural","Monte",1109,"01/16/2024","Genomique_Quebec","Miseq",NA,NA,"MROY","David Jose de la Cruz Lopez"
"15","NEF_mymo_MYMO23_2025","MYMO23","Argentina","Agrelo - Caicayen","Mendoza","MYMOM23",-33.394281,-69.206517,"30*30",10,"cf","Non Agricultural","Monte",1197,"01/10/2024","Genomique_Quebec","Miseq",NA,NA,"MROY","David Jose de la Cruz Lopez"
"16","NEF_mymo_MYMO24_2025","MYMO24","Argentina","Chacayes - Lican","Mendoza","MYMOM24",-33.374186,-69.245619,"30*30",10,"cf","Non Agricultural","Monte",1369,"01/10/2024","Genomique_Quebec","Miseq",NA,NA,"MROY","David Jose de la Cruz Lopez"
"17","NEF_mymo_MYMO25_2025","MYMO25","Argentina","San Carlos - Yaima","Mendoza","MYMOM25",-33.782097,-69.106756,"30*30",10,"cf","Non Agricultural","Monte",1019,"01/10/2024","Genomique_Quebec","Miseq",NA,NA,"MROY","David Jose de la Cruz Lopez"
