"","new.ID","PermanentID"
"3","NEF_diam_BAF1_2025","BAF1"
"4","NEF_diam_BAF3_2025","BAF3"
"5","NEF_diam_BALBF_2025","BALBF"
"6","NEF_diam_BALTF_2025","BALTF"
"7","NEF_diam_BLATF_2025","BLATF"
"14","NEF_diam_CAM_2025","CAM"
"17","NEF_diam_CAMPK_2025","CAMPK"
"18","NEF_diam_CAY2_2025","CAY2"
"19","NEF_diam_CAY3_2025","CAY3"
"20","NEF_diam_CGBF_2025","CGBF"
"21","NEF_diam_CGTF_2025","CGTF"
"22","NEF_diam_CNBF_2025","CNBF"
"23","NEF_diam_CNTF_2025","CNTF"
"24","NEF_diam_COOTF_2025","COOTF"
"25","NEF_diam_CRLBF_2025","CRLBF"
"26","NEF_diam_CRLTF_2025","CRLTF"
"27","NEF_diam_CSG1_2025","CSG1"
"28","NEF_diam_CSG2_2025","CSG2"
"29","NEF_diam_CSG3_2025","CSG3"
"30","NEF_diam_CSG4_2025","CSG4"
"31","NEF_diam_CSG5_2025","CSG5"
"32","NEF_diam_CSG6_2025","CSG6"
"33","NEF_diam_CSG7_2025","CSG7"
"34","NEF_diam_CSG8_2025","CSG8"
"35","NEF_diam_FRG_2025","FRG"
"36","NEF_diam_GALP1_2025","GALP1"
"37","NEF_diam_GALP2_2025","GALP2"
"38","NEF_diam_GALP3_2025","GALP3"
"39","NEF_diam_GALP4_2025","GALP4"
"40","NEF_diam_GALP5_2025","GALP5"
"41","NEF_diam_GALP6_2025","GALP6"
"42","NEF_diam_GALP7_2025","GALP7"
"43","NEF_diam_GALP8_2025","GALP8"
"55","NEF_diam_GUY_2025","GUY"
"56","NEF_diam_IT01_2025","IT01"
"57","NEF_diam_IT02_2025","IT02"
"58","NEF_diam_IT03_2025","IT03"
"59","NEF_diam_IT04_2025","IT04"
"60","NEF_diam_IT05_2025","IT05"
"61","NEF_diam_IT06_2025","IT06"
"62","NEF_diam_IT07_2025","IT07"
"63","NEF_diam_IT08_2025","IT08"
"64","NEF_diam_IT09_2025","IT09"
"67","NEF_diam_KAPTF_2025","KAPTF"
"68","NEF_diam_KAPBF_2025","KAPBF"
"69","NEF_diam_KAW70-C_2025","KAW70-C"
"70","NEF_diam_KAW71-G_2025","KAW71-G"
"71","NEF_diam_KAW72-T_2025","KAW72-T"
"72","NEF_diam_KOT1_2025","KOT1"
"73","NEF_diam_KOT10_2025","KOT10"
"74","NEF_diam_KOT2_2025","KOT2"
"75","NEF_diam_KOT3_2025","KOT3"
"76","NEF_diam_KOT4_2025","KOT4"
"77","NEF_diam_KOT5_2025","KOT5"
"78","NEF_diam_KOT6_2025","KOT6"
