"","new.ID","PermanentID","sequencing_platform","NEF.dataset"
"252","NEF_GloFung-its1_50_2021","GF05016058S","Illumina","ITS1"
"253","NEF_GloFung-its1_50_2021","GF05016057S","Illumina","ITS1"
"254","NEF_GloFung-its1_50_2021","GF05016056S","Illumina","ITS1"
"255","NEF_GloFung-its1_51_2021","GF05016055S","Illumina","ITS1"
"256","NEF_GloFung-its1_51_2021","GF05016054S","Illumina","ITS1"
"257","NEF_GloFung-its1_51_2021","GF05016053S","Illumina","ITS1"
"258","NEF_GloFung-its1_52_2021","GF05016052S","Illumina","ITS1"
"259","NEF_GloFung-its1_52_2021","GF05016051S","Illumina","ITS1"
"260","NEF_GloFung-its1_52_2021","GF05016050S","Illumina","ITS1"
"1151","NEF_GloFung-its1_409_2021","GF05000392S","Illumina","ITS1"
"1152","NEF_GloFung-its1_409_2021","GF05000391S","Illumina","ITS1"
"1153","NEF_GloFung-its1_409_2021","GF05000390S","Illumina","ITS1"
"1154","NEF_GloFung-its1_409_2021","GF05000389S","Illumina","ITS1"
"1155","NEF_GloFung-its1_410_2021","GF05000388S","Illumina","ITS1"
"1156","NEF_GloFung-its1_410_2021","GF05000387S","Illumina","ITS1"
"1157","NEF_GloFung-its1_410_2021","GF05000386S","Illumina","ITS1"
"1158","NEF_GloFung-its1_410_2021","GF05000385S","Illumina","ITS1"
"1159","NEF_GloFung-its1_411_2021","GF05000384S","Illumina","ITS1"
"1160","NEF_GloFung-its1_411_2021","GF05000383S","Illumina","ITS1"
"1161","NEF_GloFung-its1_411_2021","GF05000382S","Illumina","ITS1"
"1162","NEF_GloFung-its1_411_2021","GF05000381S","Illumina","ITS1"
"1163","NEF_GloFung-its1_412_2021","GF05000380S","Illumina","ITS1"
"1164","NEF_GloFung-its1_412_2021","GF05000379S","Illumina","ITS1"
"1165","NEF_GloFung-its1_412_2021","GF05000378S","Illumina","ITS1"
"1166","NEF_GloFung-its1_412_2021","GF05000377S","Illumina","ITS1"
"1405","NEF_GloFung-its1_563_2021","GF04004612S","Illumina","ITS1"
"1406","NEF_GloFung-its1_564_2021","GF04004611S","Illumina","ITS1"
"1407","NEF_GloFung-its1_565_2021","GF04004610S","Illumina","ITS1"
"1408","NEF_GloFung-its1_566_2021","GF04004609S","Illumina","ITS1"
"1409","NEF_GloFung-its1_567_2021","GF04004608S","Illumina","ITS1"
"1410","NEF_GloFung-its1_567_2021","GF04004607S","Illumina","ITS1"
"1411","NEF_GloFung-its1_566_2021","GF04004606S","Illumina","ITS1"
"1412","NEF_GloFung-its1_568_2021","GF04004605S","Illumina","ITS1"
"1413","NEF_GloFung-its1_569_2021","GF04004604S","Illumina","ITS1"
"1414","NEF_GloFung-its1_563_2021","GF04004603S","Illumina","ITS1"
"1415","NEF_GloFung-its1_563_2021","GF04004602S","Illumina","ITS1"
"1416","NEF_GloFung-its1_570_2021","GF04004601S","Illumina","ITS1"
"1417","NEF_GloFung-its1_570_2021","GF04004600S","Illumina","ITS1"
"1418","NEF_GloFung-its1_567_2021","GF04004599S","Illumina","ITS1"
"1419","NEF_GloFung-its1_570_2021","GF04004598S","Illumina","ITS1"
"1420","NEF_GloFung-its1_571_2021","GF04004597S","Illumina","ITS1"
"1421","NEF_GloFung-its1_565_2021","GF04004596S","Illumina","ITS1"
"1422","NEF_GloFung-its1_567_2021","GF04004595S","Illumina","ITS1"
"1423","NEF_GloFung-its1_572_2021","GF04004594S","Illumina","ITS1"
"1424","NEF_GloFung-its1_563_2021","GF04004593S","Illumina","ITS1"
"1425","NEF_GloFung-its1_567_2021","GF04004592S","Illumina","ITS1"
"1426","NEF_GloFung-its1_569_2021","GF04004591S","Illumina","ITS1"
"1427","NEF_GloFung-its1_567_2021","GF04004590S","Illumina","ITS1"
"1428","NEF_GloFung-its1_573_2021","GF04004589S","Illumina","ITS1"
"1429","NEF_GloFung-its1_569_2021","GF04004588S","Illumina","ITS1"
"1430","NEF_GloFung-its1_563_2021","GF04004587S","Illumina","ITS1"
"1431","NEF_GloFung-its1_567_2021","GF04004586S","Illumina","ITS1"
"1432","NEF_GloFung-its1_574_2021","GF04004585S","Illumina","ITS1"
"1433","NEF_GloFung-its1_575_2021","GF04004584S","Illumina","ITS1"
"1434","NEF_GloFung-its1_576_2021","GF04004583S","Illumina","ITS1"
"1435","NEF_GloFung-its1_573_2021","GF04004582S","Illumina","ITS1"
"1436","NEF_GloFung-its1_566_2021","GF04004581S","Illumina","ITS1"
"1437","NEF_GloFung-its1_568_2021","GF04004580S","Illumina","ITS1"
"1438","NEF_GloFung-its1_565_2021","GF04004579S","Illumina","ITS1"
"1439","NEF_GloFung-its1_567_2021","GF04004578S","Illumina","ITS1"
"1440","NEF_GloFung-its1_577_2021","GF04004577S","Illumina","ITS1"
"1441","NEF_GloFung-its1_578_2021","GF04004576S","Illumina","ITS1"
"1442","NEF_GloFung-its1_575_2021","GF04004575S","Illumina","ITS1"
"1443","NEF_GloFung-its1_567_2021","GF04004574S","Illumina","ITS1"
"1444","NEF_GloFung-its1_579_2021","GF04004573S","Illumina","ITS1"
"1445","NEF_GloFung-its1_567_2021","GF04004572S","Illumina","ITS1"
"1446","NEF_GloFung-its1_566_2021","GF04004571S","Illumina","ITS1"
"1447","NEF_GloFung-its1_568_2021","GF04004570S","Illumina","ITS1"
"1448","NEF_GloFung-its1_569_2021","GF04004569S","Illumina","ITS1"
"1449","NEF_GloFung-its1_570_2021","GF04004568S","Illumina","ITS1"
"1450","NEF_GloFung-its1_563_2021","GF04004567S","Illumina","ITS1"
"1451","NEF_GloFung-its1_568_2021","GF04004566S","Illumina","ITS1"
"1452","NEF_GloFung-its1_565_2021","GF04004565S","Illumina","ITS1"
"1453","NEF_GloFung-its1_568_2021","GF04004564S","Illumina","ITS1"
"1454","NEF_GloFung-its1_565_2021","GF04004563S","Illumina","ITS1"
"1455","NEF_GloFung-its1_580_2021","GF04004562S","Illumina","ITS1"
"1456","NEF_GloFung-its1_579_2021","GF04004561S","Illumina","ITS1"
"1457","NEF_GloFung-its1_579_2021","GF04004560S","Illumina","ITS1"
"1458","NEF_GloFung-its1_568_2021","GF04004559S","Illumina","ITS1"
"1459","NEF_GloFung-its1_569_2021","GF04004558S","Illumina","ITS1"
"1460","NEF_GloFung-its1_574_2021","GF04004557S","Illumina","ITS1"
"1461","NEF_GloFung-its1_568_2021","GF04004556S","Illumina","ITS1"
"1462","NEF_GloFung-its1_570_2021","GF04004555S","Illumina","ITS1"
"1463","NEF_GloFung-its1_567_2021","GF04004554S","Illumina","ITS1"
"1464","NEF_GloFung-its1_568_2021","GF04004553S","Illumina","ITS1"
"1465","NEF_GloFung-its1_581_2021","GF04004552S","Illumina","ITS1"
"1466","NEF_GloFung-its1_582_2021","GF04004551S","Illumina","ITS1"
"1467","NEF_GloFung-its1_563_2021","GF04004550S","Illumina","ITS1"
"1468","NEF_GloFung-its1_570_2021","GF04004549S","Illumina","ITS1"
"1469","NEF_GloFung-its1_567_2021","GF04004548S","Illumina","ITS1"
"1470","NEF_GloFung-its1_568_2021","GF04004547S","Illumina","ITS1"
"1471","NEF_GloFung-its1_563_2021","GF04004546S","Illumina","ITS1"
"1472","NEF_GloFung-its1_573_2021","GF04004545S","Illumina","ITS1"
"1473","NEF_GloFung-its1_567_2021","GF04004544S","Illumina","ITS1"
"1474","NEF_GloFung-its1_575_2021","GF04004543S","Illumina","ITS1"
"1475","NEF_GloFung-its1_565_2021","GF04004542S","Illumina","ITS1"
"1476","NEF_GloFung-its1_575_2021","GF04004541S","Illumina","ITS1"
"1477","NEF_GloFung-its1_563_2021","GF04004540S","Illumina","ITS1"
"1478","NEF_GloFung-its1_566_2021","GF04004539S","Illumina","ITS1"
"1479","NEF_GloFung-its1_567_2021","GF04004538S","Illumina","ITS1"
"1480","NEF_GloFung-its1_568_2021","GF04004537S","Illumina","ITS1"
"1481","NEF_GloFung-its1_583_2021","GF04004536S","Illumina","ITS1"
"1482","NEF_GloFung-its1_567_2021","GF04004535S","Illumina","ITS1"
"1483","NEF_GloFung-its1_567_2021","GF04004534S","Illumina","ITS1"
"1484","NEF_GloFung-its1_575_2021","GF04004533S","Illumina","ITS1"
"1485","NEF_GloFung-its1_566_2021","GF04004532S","Illumina","ITS1"
"1486","NEF_GloFung-its1_563_2021","GF04004531S","Illumina","ITS1"
"1487","NEF_GloFung-its1_566_2021","GF04004530S","Illumina","ITS1"
"1488","NEF_GloFung-its1_574_2021","GF04004529S","Illumina","ITS1"
"1489","NEF_GloFung-its1_579_2021","GF04004528S","Illumina","ITS1"
"1490","NEF_GloFung-its1_567_2021","GF04004527S","Illumina","ITS1"
"1491","NEF_GloFung-its1_568_2021","GF04004526S","Illumina","ITS1"
