"dataset","Database_ID","PermanentID","add_date","paper_id","title","year","authors","journal","doi","contact","sample_name","sample_type","manipulated","sample_description","latitude","longitude","continent","year_of_sampling"
1,"its1",27938,"GF05031235S","30.10.2023","Lebre_2023_BGN","Expanding Antarctic biogeography: microbial ecology of Antarctic island soils",2023,"Lebre, P.H., Bosch, J., Coclet, C., Hallas, R., Hogg, I., Johnson, J., Moon, K.L., Ortiz, M., Rotimi, A., Stevens, M.I. and Varliero, G.","Ecography","10.1111/ecog.06568","pedro.bixiraonetomarinholebre@up.ac.za","SG-17-99","topsoil",FALSE,"topsoil",-54.263,-36.505,"Antarctica"
2,"its1",12797,"GF05031234S","30.10.2023","Lebre_2023_BGN","Expanding Antarctic biogeography: microbial ecology of Antarctic island soils",2023,"Lebre, P.H., Bosch, J., Coclet, C., Hallas, R., Hogg, I., Johnson, J., Moon, K.L., Ortiz, M., Rotimi, A., Stevens, M.I. and Varliero, G.","Ecography","10.1111/ecog.06568","pedro.bixiraonetomarinholebre@up.ac.za","SG-17-95","topsoil",FALSE,"topsoil",-54.262,-36.504,"Antarctica"
3,"its1",11792,"GF05031233S","30.10.2023","Lebre_2023_BGN","Expanding Antarctic biogeography: microbial ecology of Antarctic island soils",2023,"Lebre, P.H., Bosch, J., Coclet, C., Hallas, R., Hogg, I., Johnson, J., Moon, K.L., Ortiz, M., Rotimi, A., Stevens, M.I. and Varliero, G.","Ecography","10.1111/ecog.06568","pedro.bixiraonetomarinholebre@up.ac.za","SG-17-91","topsoil",FALSE,"topsoil",-54.272,-36.516,"Antarctica"
4,"its1",8585,"GF05031232S","30.10.2023","Lebre_2023_BGN","Expanding Antarctic biogeography: microbial ecology of Antarctic island soils",2023,"Lebre, P.H., Bosch, J., Coclet, C., Hallas, R., Hogg, I., Johnson, J., Moon, K.L., Ortiz, M., Rotimi, A., Stevens, M.I. and Varliero, G.","Ecography","10.1111/ecog.06568","pedro.bixiraonetomarinholebre@up.ac.za","SG-17-111","topsoil",FALSE,"topsoil",-54.262,-36.502,"Antarctica"
5,"its1",13788,"GF05031231S","30.10.2023","Lebre_2023_BGN","Expanding Antarctic biogeography: microbial ecology of Antarctic island soils",2023,"Lebre, P.H., Bosch, J., Coclet, C., Hallas, R., Hogg, I., Johnson, J., Moon, K.L., Ortiz, M., Rotimi, A., Stevens, M.I. and Varliero, G.","Ecography","10.1111/ecog.06568","pedro.bixiraonetomarinholebre@up.ac.za","SG-17-103","topsoil",FALSE,"topsoil",-54.266,-36.502,"Antarctica"
6,"its1",12561,"GF05030147S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D4-3-REF","rhizosphere soil",FALSE,"rhizosphere soil",-41.1066,-71.5192,"South America"
7,"its1",15578,"GF05030146S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D4-2-REF","rhizosphere soil",FALSE,"rhizosphere soil",-41.1066,-71.5192,"South America"
8,"its1",19493,"GF05030145S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D4-1-REF","rhizosphere soil",FALSE,"rhizosphere soil",-41.1066,-71.5192,"South America"
9,"its1",45487,"GF05030144S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-Psme","rhizosphere soil",FALSE,"rhizosphere soil",-40.9818,-71.5261,"South America"
10,"its1",27039,"GF05030143S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-6-U","rhizosphere soil",FALSE,"rhizosphere soil",-40.9818,-71.5261,"South America"
11,"its1",16629,"GF05030142S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-6-NI","rhizosphere soil",FALSE,"rhizosphere soil",-40.9818,-71.5261,"South America"
12,"its1",11403,"GF05030141S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-6-IF","rhizosphere soil",FALSE,"rhizosphere soil",-40.9818,-71.5261,"South America"
13,"its1",41385,"GF05030140S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-6-I","rhizosphere soil",FALSE,"rhizosphere soil",-40.9818,-71.5261,"South America"
14,"its1",11415,"GF05030139S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-5-U","rhizosphere soil",FALSE,"rhizosphere soil",-40.9818,-71.5261,"South America"
15,"its1",25752,"GF05030138S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-5-NI","rhizosphere soil",FALSE,"rhizosphere soil",-40.9818,-71.5261,"South America"
16,"its1",45279,"GF05030137S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-5-IF","rhizosphere soil",FALSE,"rhizosphere soil",-40.9818,-71.5261,"South America"
17,"its1",37773,"GF05030136S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-5-I","rhizosphere soil",FALSE,"rhizosphere soil",-40.9818,-71.5261,"South America"
18,"its1",45400,"GF05030135S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-4-U","rhizosphere soil",FALSE,"rhizosphere soil",-40.9818,-71.5261,"South America"
19,"its1",24064,"GF05030134S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-4-NI","rhizosphere soil",FALSE,"rhizosphere soil",-40.9818,-71.5261,"South America"
20,"its1",23545,"GF05030133S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-4-IF","rhizosphere soil",FALSE,"rhizosphere soil",-40.9818,-71.5261,"South America"
21,"its1",34331,"GF05030132S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-4-I","rhizosphere soil",FALSE,"rhizosphere soil",-40.9818,-71.5261,"South America"
22,"its1",34328,"GF05030131S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-4-6-roots","root",FALSE,"root",-40.9818,-71.5261,"South America"
23,"its1",26367,"GF05030130S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-3-U","rhizosphere soil",FALSE,"rhizosphere soil",-40.9799,-71.5249,"South America"
24,"its1",13937,"GF05030129S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-3-NI","rhizosphere soil",FALSE,"rhizosphere soil",-40.9799,-71.5249,"South America"
25,"its1",22911,"GF05030128S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-3-IF","rhizosphere soil",FALSE,"rhizosphere soil",-40.9799,-71.5249,"South America"
26,"its1",34330,"GF05030127S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-3-I","rhizosphere soil",FALSE,"rhizosphere soil",-40.9799,-71.5249,"South America"
27,"its1",27045,"GF05030126S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-2-U","rhizosphere soil",FALSE,"rhizosphere soil",-40.9799,-71.5249,"South America"
28,"its1",22910,"GF05030125S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-2-NI","rhizosphere soil",FALSE,"rhizosphere soil",-40.9799,-71.5249,"South America"
29,"its1",9289,"GF05030124S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-2-IF","rhizosphere soil",FALSE,"rhizosphere soil",-40.9799,-71.5249,"South America"
30,"its1",8848,"GF05030123S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-2-I","rhizosphere soil",FALSE,"rhizosphere soil",-40.9799,-71.5249,"South America"
31,"its1",30618,"GF05030122S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-1-U","rhizosphere soil",FALSE,"rhizosphere soil",-40.9799,-71.5249,"South America"
32,"its1",11419,"GF05030121S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-1-NI","rhizosphere soil",FALSE,"rhizosphere soil",-40.9799,-71.5249,"South America"
33,"its1",8849,"GF05030120S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-1-IF","rhizosphere soil",FALSE,"rhizosphere soil",-40.9799,-71.5249,"South America"
34,"its1",34329,"GF05030119S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-1-I","rhizosphere soil",FALSE,"rhizosphere soil",-40.9799,-71.5249,"South America"
35,"its1",59381,"GF05030118S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D3-1-3-roots","root",FALSE,"root",-40.9799,-71.5249,"South America"
36,"its1",4164,"GF05030117S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D2-roots","root",FALSE,"root",-41.3523,-71.517,"South America"
37,"its1",17855,"GF05030116S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D2-Psme","rhizosphere soil",FALSE,"rhizosphere soil",-41.3523,-71.517,"South America"
38,"its1",11670,"GF05030115S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D2-3-U","rhizosphere soil",FALSE,"rhizosphere soil",-41.3523,-71.517,"South America"
39,"its1",19490,"GF05030114S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D2-3-NI","rhizosphere soil",FALSE,"rhizosphere soil",-41.3523,-71.517,"South America"
40,"its1",22036,"GF05030113S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D2-3-IF","rhizosphere soil",FALSE,"rhizosphere soil",-41.3523,-71.517,"South America"
41,"its1",12988,"GF05030112S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D2-3-I","rhizosphere soil",FALSE,"rhizosphere soil",-41.3523,-71.517,"South America"
42,"its1",46460,"GF05030111S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D2-2-U","rhizosphere soil",FALSE,"rhizosphere soil",-41.3523,-71.517,"South America"
43,"its1",19511,"GF05030110S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D2-2-NI","rhizosphere soil",FALSE,"rhizosphere soil",-41.3523,-71.517,"South America"
44,"its1",49753,"GF05030109S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D2-2-IF","rhizosphere soil",FALSE,"rhizosphere soil",-41.3523,-71.517,"South America"
45,"its1",18329,"GF05030108S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D2-2-I","rhizosphere soil",FALSE,"rhizosphere soil",-41.3523,-71.517,"South America"
46,"its1",20843,"GF05030107S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D2-1-U","rhizosphere soil",FALSE,"rhizosphere soil",-41.3523,-71.517,"South America"
47,"its1",21455,"GF05030106S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D2-1-NI","rhizosphere soil",FALSE,"rhizosphere soil",-41.3523,-71.517,"South America"
48,"its1",58510,"GF05030105S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D2-1-IF","rhizosphere soil",FALSE,"rhizosphere soil",-41.3523,-71.517,"South America"
49,"its1",32751,"GF05030104S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D2-1-I","rhizosphere soil",FALSE,"rhizosphere soil",-41.3523,-71.517,"South America"
50,"its1",19516,"GF05030103S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D1-roots","root",FALSE,"root",-41.1066,-71.5192,"South America"
51,"its1",27040,"GF05030102S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D1-Psme","rhizosphere soil",FALSE,"rhizosphere soil",-41.1066,-71.5192,"South America"
52,"its1",19508,"GF05030101S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D1-3-U","rhizosphere soil",FALSE,"rhizosphere soil",-41.1066,-71.5192,"South America"
53,"its1",19491,"GF05030100S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D1-3-NI","rhizosphere soil",FALSE,"rhizosphere soil",-41.1066,-71.5192,"South America"
54,"its1",19498,"GF05030099S","30.10.2023","Mujic_2023_ARX","Co-invasive ectomycorrhizal fungi alter native soil fungal communities",2023,"Mujic, A.B., Policelli, N., Nuñez, M.A., Truong, C. and Smith, M.E.","Plant and Soil","10.1007/s11104-022-05820-8","amujic@mail.fresnostate.edu","D1-3-IF","rhizosphere soil",FALSE,"rhizosphere soil",-41.1066,-71.5192,"South America"
