"PermanentID","latitude","longitude","grupo_espacial","To_keep"
"GF05031200S",-6.01374,-50.3012,1,"yes"
"GF05031196S",-6.3937,-50.3769,4,"yes"
"GF05031193S",-6.39279,-50.3768,6,"yes"
"GF05031187S",-6.35067,-50.3995,9,"yes"
"GF05031184S",-6.35218,-50.4011,11,"yes"
"GF05031183S",-6.32201,-50.4508,12,"yes"
"GF05031182S",-6.32362,-50.4506,13,"yes"
"GF05031181S",-6.32477,-50.4505,14,"yes"
"GF05031180S",-6.33422,-50.45,15,"yes"
"GF05031179S",-6.34855,-50.4417,16,"yes"
"GF05031177S",-6.01118,-50.3005,18,"yes"
"GF05031175S",-6.34967,-50.4433,19,"yes"
"GF05031173S",-6.34864,-50.4358,21,"yes"
"GF05031171S",-6.34996,-50.4361,22,"yes"
"GF05031170S",-6.33315,-49.9676,23,"yes"
"GF05031169S",-6.33361,-49.9658,24,"yes"
"GF05031161S",-6.13311,-50.1709,29,"yes"
"GF05031160S",-6.13215,-50.172,30,"yes"
"GF05031159S",-6.13071,-50.1754,31,"yes"
"GF05031158S",-6.13032,-50.174,32,"yes"
"GF05031157S",-6.05087,-50.2851,33,"yes"
"GF05031155S",-6.0463,-50.2839,34,"yes"
"GF05031154S",-6.05616,-50.2504,35,"yes"
"GF05029998S",-31.483751,-64.191293,47,"yes"
"GF05029997S",-31.513017,-64.18699,48,"yes"
"GF05029996S",-31.526857,-64.174301,49,"yes"
"GF05029995S",-31.524888,-64.174127,50,"yes"
"GF05029994S",-31.533948,-64.160749,51,"yes"
"GF05029993S",-31.529431,-64.152735,52,"yes"
"GF05029992S",-31.367,-64.06387,53,"yes"
"GF05029991S",-31.374171,-64.0559,54,"yes"
"GF05029990S",-31.328709,-64.155119,55,"yes"
"GF05029989S",-31.329095,-64.153566,56,"yes"
"GF05029988S",-31.299382,-64.13192,57,"yes"
"GF05029987S",-31.303213,-64.128485,58,"yes"
"GF05029986S",-31.307127,-64.16955,59,"yes"
"GF05029985S",-31.308151,-64.168499,60,"yes"
"GF05026793S",-28.1448,-49.6229,69,"yes"
"GF05026791S",-28.1493,-49.6325,70,"yes"
"GF05026789S",-28.1638,-49.6159,71,"yes"
"GF05026787S",-28.1541,-49.6409,72,"yes"
"GF05026785S",-27.702,-48.963,73,"yes"
"GF05026783S",-27.6987,-49.2404,74,"yes"
"GF05026781S",-27.7062,-49.2646,75,"yes"
"GF05026779S",-27.8318,-48.5603,76,"yes"
"GF05026777S",-27.8218,-48.5635,77,"yes"
"GF05026775S",-27.5289,-48.5115,78,"yes"
"GF05026773S",-27.5282,-48.5106,79,"yes"
"GF05026768S",8.8106,-82.559,82,"yes"
"GF05026763S",8.6846,-79.927,85,"yes"
"GF05026762S",8.6822,-79.9303,86,"yes"
"GF05026761S",9.1195,-79.6961,87,"yes"
"GF05023588S",-26.094,-54.4439,95,"yes"
"GF05023585S",-26.162,-54.4418,97,"yes"
"GF05023584S",-26.1621,-54.4439,98,"yes"
"GF05023583S",-26.1614,-54.4425,99,"yes"
"GF05023580S",-26.1658,-54.4402,101,"yes"
"GF05014641S",-31.47345,-68.7581,111,"yes"
"GF05003612S",-22.782778,-48.411528,116,"yes"
"GF05003609S",-22.817806,-48.39425,117,"yes"
"GF05003607S",-22.818111,-48.392778,119,"yes"
"GF05001436S",5.5,-73,131,"yes"
"GF05000025S",8.921667,-82.880861,132,"yes"
"GF05000024S",8.878,-82.941472,133,"yes"
"GF05000023S",10.275667,-84.756083,134,"yes"
"GF05000022S",10.322889,-84.841972,135,"yes"
"GF05000021S",8.952694,-82.999194,136,"yes"
"GF05000019S",10.322583,-84.843139,138,"yes"
"GF05000018S",10.284528,-84.797028,139,"yes"
"GF05000016S",8.878,-82.952444,141,"yes"
"GF05000015S",8.909472,-82.893944,142,"yes"
"GF05000014S",8.934556,-82.828472,143,"yes"
"GF05000013S",8.91,-82.890389,144,"yes"
"GF05000012S",8.878472,-82.949972,145,"yes"
"GF05000011S",8.903722,-82.786611,146,"yes"
"GF05000010S",8.901889,-82.796444,147,"yes"
"GF05000009S",10.354528,-84.904722,148,"yes"
"GF05000008S",10.353833,-84.869806,149,"yes"
"GF05000007S",10.375306,-84.899,150,"yes"
"GF05000005S",10.324389,-84.841694,151,"yes"
"GF05000004S",10.324583,-84.84275,152,"yes"
"GF05000002S",8.878083,-82.950861,153,"yes"
"GF05000001S",8.738389,-82.949111,154,"yes"
"GF04001294S",-2.959,-78.855,175,"yes"
"GF04001293S",-2.936,-78.8339,176,"yes"
"GF04001292S",-2.936,-78.842,177,"yes"
"GF03003924S",9.347118,-82.253791,185,"yes"
"GF02000472S",31.48,-96.88,194,"yes"
"GF02000422S",-26.73333333,-54.68333333,199,"yes"
"GF02000419S",-12.63333333,-71.23333333,200,"yes"
"GF01018360S",-23.6853,-64.8997,205,"yes"
"GF01018359S",-27.3226,-65.9147,206,"yes"
"GF01018358S",-26.7701,-65.3251,207,"yes"
"GF01018357S",-22.2778,-64.7252,208,"yes"
"GF01018356S",-22.3556,-64.7225,209,"yes"
"GF01018355S",-23.6948,-64.8636,210,"yes"
"GF01018354S",-27.2198,-65.6318,211,"yes"
"GF01018353S",-24.0937,-65.4827,212,"yes"
"GF01018352S",-27.2218,-65.6256,213,"yes"
"GF01018351S",-26.8091,-65.283,214,"yes"
"GF01018350S",-24.1206,-65.4541,215,"yes"
"GF01018349S",-22.3833,-64.7257,216,"yes"
"GF01018348S",-22.399,-64.7293,217,"yes"
"GF01018347S",-23.705,-64.8659,218,"yes"
"GF01018346S",-22.3424,-64.7256,219,"yes"
"GF01018345S",-23.6847,-64.891,220,"yes"
"GF01018344S",-23.6966,-64.8617,221,"yes"
"GF01018343S",-23.7522,-64.851,222,"yes"
"GF01018342S",-23.7571,-64.8503,223,"yes"
"GF01018341S",-27.3335,-65.8781,224,"yes"
"GF01018340S",-23.6823,-64.9019,225,"yes"
"GF01018339S",-23.7554,-64.8534,226,"yes"
"GF01018338S",-23.9188,-64.9345,227,"yes"
"GF01018337S",-27.3309,-65.9513,228,"yes"
"GF01017000S",18.302196,-65.834263,229,"yes"
"GF01016999S",17.951319,-67.130843,230,"yes"
"GF01016998S",17.973813,-66.869982,231,"yes"
"GF01016997S",17.951602,-67.128362,232,"yes"
"GF01016996S",17.981283,-66.876891,233,"yes"
