"","new.ID","Latitude","Longitude","groups","nitrogen","sand","cec","soc","phh2o","silt"
"252","NEF_GloFung-its1_50_2021",17.581064,-96.401436,9,663,439,188,1033,54,271
"252.1","NEF_GloFung-its1_50_2021",17.581064,-96.401436,9,663,439,188,1033,54,271
"252.2","NEF_GloFung-its1_50_2021",17.581064,-96.401436,9,663,439,188,1033,54,271
"255","NEF_GloFung-its1_51_2021",17.588444,-96.399361,9,598,408,192,1087,51,285
"255.1","NEF_GloFung-its1_51_2021",17.588444,-96.399361,9,598,408,192,1087,51,285
"255.2","NEF_GloFung-its1_51_2021",17.588444,-96.399361,9,598,408,192,1087,51,285
"258","NEF_GloFung-its1_52_2021",17.583433,-96.3935,9,609,411,192,1098,52,276
"258.1","NEF_GloFung-its1_52_2021",17.583433,-96.3935,9,609,411,192,1098,52,276
"258.2","NEF_GloFung-its1_52_2021",17.583433,-96.3935,9,609,411,192,1098,52,276
"373","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.1","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.2","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.3","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.4","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.5","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.6","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.7","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.8","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.9","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.10","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.11","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.12","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.13","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.14","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.15","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.16","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.17","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.18","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.19","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.20","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.21","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.22","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.23","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.24","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.25","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.26","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.27","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.28","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.29","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.30","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"373.31","NEF_GloFung-its1_56_2021",4.8764,-52.2608,11,482,328,208,682,49,328
"405","NEF_GloFung-its1_57_2021",4.9116,-52.25897,11,0,0,0,0,0,0
"405.1","NEF_GloFung-its1_57_2021",4.9116,-52.25897,11,0,0,0,0,0,0
"405.2","NEF_GloFung-its1_57_2021",4.9116,-52.25897,11,0,0,0,0,0,0
"405.3","NEF_GloFung-its1_57_2021",4.9116,-52.25897,11,0,0,0,0,0,0
"405.4","NEF_GloFung-its1_57_2021",4.9116,-52.25897,11,0,0,0,0,0,0
"405.5","NEF_GloFung-its1_57_2021",4.9116,-52.25897,11,0,0,0,0,0,0
