PermanentID,Latitude,Longitude,continent,country,paper_id
GF05031235S,-54.263,-36.505,Antarctica,Antarctica,Lebre_2023_BGN
GF05031234S,-54.262,-36.504,Antarctica,Antarctica,Lebre_2023_BGN
GF05031233S,-54.272,-36.516,Antarctica,Antarctica,Lebre_2023_BGN
GF05031232S,-54.262,-36.502,Antarctica,Antarctica,Lebre_2023_BGN
GF05031231S,-54.266,-36.502,Antarctica,Antarctica,Lebre_2023_BGN
GF05030147S,-41.1066,-71.5192,South America,Argentina,Mujic_2023_ARX
GF05030146S,-41.1066,-71.5192,South America,Argentina,Mujic_2023_ARX
GF05030145S,-41.1066,-71.5192,South America,Argentina,Mujic_2023_ARX
GF05030144S,-40.9818,-71.5261,South America,Argentina,Mujic_2023_ARX
GF05030143S,-40.9818,-71.5261,South America,Argentina,Mujic_2023_ARX
GF05030142S,-40.9818,-71.5261,South America,Argentina,Mujic_2023_ARX
GF05030141S,-40.9818,-71.5261,South America,Argentina,Mujic_2023_ARX
GF05030140S,-40.9818,-71.5261,South America,Argentina,Mujic_2023_ARX
GF05030139S,-40.9818,-71.5261,South America,Argentina,Mujic_2023_ARX
GF05030138S,-40.9818,-71.5261,South America,Argentina,Mujic_2023_ARX
GF05030137S,-40.9818,-71.5261,South America,Argentina,Mujic_2023_ARX
GF05030136S,-40.9818,-71.5261,South America,Argentina,Mujic_2023_ARX
GF05030135S,-40.9818,-71.5261,South America,Argentina,Mujic_2023_ARX
GF05030134S,-40.9818,-71.5261,South America,Argentina,Mujic_2023_ARX
GF05030133S,-40.9818,-71.5261,South America,Argentina,Mujic_2023_ARX
GF05030132S,-40.9818,-71.5261,South America,Argentina,Mujic_2023_ARX
GF05030131S,-40.9818,-71.5261,South America,Argentina,Mujic_2023_ARX
GF05030130S,-40.9799,-71.5249,South America,Argentina,Mujic_2023_ARX
GF05030129S,-40.9799,-71.5249,South America,Argentina,Mujic_2023_ARX
GF05030128S,-40.9799,-71.5249,South America,Argentina,Mujic_2023_ARX
GF05030127S,-40.9799,-71.5249,South America,Argentina,Mujic_2023_ARX
GF05030126S,-40.9799,-71.5249,South America,Argentina,Mujic_2023_ARX
GF05030125S,-40.9799,-71.5249,South America,Argentina,Mujic_2023_ARX
GF05030124S,-40.9799,-71.5249,South America,Argentina,Mujic_2023_ARX
GF05030123S,-40.9799,-71.5249,South America,Argentina,Mujic_2023_ARX
GF05030122S,-40.9799,-71.5249,South America,Argentina,Mujic_2023_ARX
GF05030121S,-40.9799,-71.5249,South America,Argentina,Mujic_2023_ARX
GF05030120S,-40.9799,-71.5249,South America,Argentina,Mujic_2023_ARX
GF05030119S,-40.9799,-71.5249,South America,Argentina,Mujic_2023_ARX
GF05030118S,-40.9799,-71.5249,South America,Argentina,Mujic_2023_ARX
GF05030117S,-41.3523,-71.517,South America,Argentina,Mujic_2023_ARX
GF05030116S,-41.3523,-71.517,South America,Argentina,Mujic_2023_ARX
GF05030115S,-41.3523,-71.517,South America,Argentina,Mujic_2023_ARX
GF05030114S,-41.3523,-71.517,South America,Argentina,Mujic_2023_ARX
GF05030113S,-41.3523,-71.517,South America,Argentina,Mujic_2023_ARX
GF05030112S,-41.3523,-71.517,South America,Argentina,Mujic_2023_ARX
GF05030111S,-41.3523,-71.517,South America,Argentina,Mujic_2023_ARX
GF05030110S,-41.3523,-71.517,South America,Argentina,Mujic_2023_ARX
GF05030109S,-41.3523,-71.517,South America,Argentina,Mujic_2023_ARX
GF05030108S,-41.3523,-71.517,South America,Argentina,Mujic_2023_ARX
GF05030107S,-41.3523,-71.517,South America,Argentina,Mujic_2023_ARX
GF05030106S,-41.3523,-71.517,South America,Argentina,Mujic_2023_ARX
GF05030105S,-41.3523,-71.517,South America,Argentina,Mujic_2023_ARX
GF05030104S,-41.3523,-71.517,South America,Argentina,Mujic_2023_ARX
GF05030103S,-41.1066,-71.5192,South America,Argentina,Mujic_2023_ARX
GF05030102S,-41.1066,-71.5192,South America,Argentina,Mujic_2023_ARX
GF05030101S,-41.1066,-71.5192,South America,Argentina,Mujic_2023_ARX
GF05030100S,-41.1066,-71.5192,South America,Argentina,Mujic_2023_ARX
GF05030099S,-41.1066,-71.5192,South America,Argentina,Mujic_2023_ARX
GF05030098S,-41.1066,-71.5192,South America,Argentina,Mujic_2023_ARX
GF05030097S,-41.1066,-71.5192,South America,Argentina,Mujic_2023_ARX
GF05030096S,-41.1066,-71.5192,South America,Argentina,Mujic_2023_ARX
GF05030095S,-41.1066,-71.5192,South America,Argentina,Mujic_2023_ARX
GF05030094S,-41.1066,-71.5192,South America,Argentina,Mujic_2023_ARX
GF05030093S,-41.1066,-71.5192,South America,Argentina,Mujic_2023_ARX
GF05030092S,-41.1066,-71.5192,South America,Argentina,Mujic_2023_ARX
GF05030091S,-41.1066,-71.5192,South America,Argentina,Mujic_2023_ARX
GF05030090S,-41.1066,-71.5192,South America,Argentina,Mujic_2023_ARX
GF05030089S,-40.7832,-71.6066,South America,Argentina,Mujic_2023_ARX
GF05030088S,-40.7832,-71.6066,South America,Argentina,Mujic_2023_ARX
GF05030087S,-40.7832,-71.6066,South America,Argentina,Mujic_2023_ARX
GF05030086S,-40.7832,-71.6066,South America,Argentina,Mujic_2023_ARX
GF05030085S,-40.7832,-71.6066,South America,Argentina,Mujic_2023_ARX
GF05030084S,-40.7832,-71.6066,South America,Argentina,Mujic_2023_ARX
GF05030083S,-40.7832,-71.6066,South America,Argentina,Mujic_2023_ARX
GF05030082S,-40.7832,-71.6066,South America,Argentina,Mujic_2023_ARX
GF05030081S,-40.7832,-71.6066,South America,Argentina,Mujic_2023_ARX
GF05030080S,-40.7832,-71.6066,South America,Argentina,Mujic_2023_ARX
GF05030079S,-40.7832,-71.6066,South America,Argentina,Mujic_2023_ARX
GF05030078S,-40.7832,-71.6066,South America,Argentina,Mujic_2023_ARX
GF05030077S,-40.7832,-71.6066,South America,Argentina,Mujic_2023_ARX
GF05030076S,-40.7832,-71.6066,South America,Argentina,Mujic_2023_ARX
GF05030075S,-41.6765,-71.4561,South America,Argentina,Mujic_2023_ARX
GF05030074S,-41.6765,-71.4561,South America,Argentina,Mujic_2023_ARX
GF05030073S,-41.6765,-71.4561,South America,Argentina,Mujic_2023_ARX
GF05030072S,-41.6765,-71.4561,South America,Argentina,Mujic_2023_ARX
GF05030071S,-41.6765,-71.4561,South America,Argentina,Mujic_2023_ARX
GF05030070S,-41.6765,-71.4561,South America,Argentina,Mujic_2023_ARX
GF05030069S,-41.6765,-71.4561,South America,Argentina,Mujic_2023_ARX
GF05030068S,-41.6765,-71.4561,South America,Argentina,Mujic_2023_ARX
GF05030067S,-41.6765,-71.4561,South America,Argentina,Mujic_2023_ARX
GF05030066S,-41.6765,-71.4561,South America,Argentina,Mujic_2023_ARX
GF05030065S,-41.6765,-71.4561,South America,Argentina,Mujic_2023_ARX
GF05030064S,-41.6765,-71.4561,South America,Argentina,Mujic_2023_ARX
GF05030063S,-41.6765,-71.4561,South America,Argentina,Mujic_2023_ARX
GF05030062S,-41.6765,-71.4561,South America,Argentina,Mujic_2023_ARX
GF05030061S,-41.6765,-71.4561,South America,Argentina,Mujic_2023_ARX
GF05030060S,-41.6765,-71.4561,South America,Argentina,Mujic_2023_ARX
GF05030059S,-41.6765,-71.4561,South America,Argentina,Mujic_2023_ARX
GF05030058S,-41.6765,-71.4561,South America,Argentina,Mujic_2023_ARX
GF05030057S,-41.6765,-71.4561,South America,Argentina,Mujic_2023_ARX
GF05030056S,-41.6765,-71.4561,South America,Argentina,Mujic_2023_ARX
GF05030055S,-41.6763,-71.4565,South America,Argentina,Mujic_2023_ARX
GF05030054S,-41.6763,-71.4565,South America,Argentina,Mujic_2023_ARX
GF05030053S,-41.6763,-71.4565,South America,Argentina,Mujic_2023_ARX
GF05030052S,-41.6763,-71.4565,South America,Argentina,Mujic_2023_ARX
GF05030051S,-41.6763,-71.4565,South America,Argentina,Mujic_2023_ARX
GF05030050S,-41.6763,-71.4565,South America,Argentina,Mujic_2023_ARX
GF05030049S,-41.6763,-71.4565,South America,Argentina,Mujic_2023_ARX
GF05030048S,-41.6763,-71.4565,South America,Argentina,Mujic_2023_ARX
GF05030047S,-41.6763,-71.4565,South America,Argentina,Mujic_2023_ARX
GF05030046S,-41.6763,-71.4565,South America,Argentina,Mujic_2023_ARX
GF05030045S,-41.6763,-71.4565,South America,Argentina,Mujic_2023_ARX
GF05030044S,-41.6763,-71.4565,South America,Argentina,Mujic_2023_ARX
GF05030043S,-41.6763,-71.4565,South America,Argentina,Mujic_2023_ARX
GF05030042S,-41.1388,-71.4311,South America,Argentina,Mujic_2023_ARX
GF05030041S,-41.1388,-71.4311,South America,Argentina,Mujic_2023_ARX
GF05030040S,-41.1388,-71.4311,South America,Argentina,Mujic_2023_ARX
GF05030039S,-41.1388,-71.4311,South America,Argentina,Mujic_2023_ARX
GF05030038S,-41.1388,-71.4311,South America,Argentina,Mujic_2023_ARX
GF05030037S,-41.1388,-71.4311,South America,Argentina,Mujic_2023_ARX
GF05030036S,-41.1388,-71.4311,South America,Argentina,Mujic_2023_ARX
GF05030035S,-41.1388,-71.4311,South America,Argentina,Mujic_2023_ARX
GF05030034S,-41.1388,-71.4311,South America,Argentina,Mujic_2023_ARX
GF05030033S,-41.1388,-71.4311,South America,Argentina,Mujic_2023_ARX
GF05030032S,-41.1388,-71.4311,South America,Argentina,Mujic_2023_ARX
GF05030031S,-41.1388,-71.4311,South America,Argentina,Mujic_2023_ARX
GF05030030S,-41.1388,-71.4311,South America,Argentina,Mujic_2023_ARX
GF05030029S,-41.1388,-71.4311,South America,Argentina,Mujic_2023_ARX
GF05030028S,-41.1388,-71.4311,South America,Argentina,Mujic_2023_ARX
GF05030027S,-41.1388,-71.4311,South America,Argentina,Mujic_2023_ARX
GF05030026S,-41.1388,-71.4311,South America,Argentina,Mujic_2023_ARX
GF05026505S,20.483,-97.5025,North America,Mexico,Johnson_2021_ADG
GF05026503S,20.483,-97.5025,North America,Mexico,Johnson_2021_ADG
GF05026500S,20.483,-97.5025,North America,Mexico,Johnson_2021_ADG
GF05026499S,20.483,-97.5025,North America,Mexico,Johnson_2021_ADG
GF05026496S,20.483,-97.5025,North America,Mexico,Johnson_2021_ADG
GF05026495S,20.505,-97.8894,North America,Mexico,Johnson_2021_ADG
GF05026492S,20.505,-97.8894,North America,Mexico,Johnson_2021_ADG
GF05026491S,20.505,-97.8894,North America,Mexico,Johnson_2021_ADG
