PermanentID,Longitude,Latitude,continent,country
GF05031200S,-50.3012,-6.01374,South America,Brazil
GF05031199S,-50.301,-6.01288,South America,Brazil
GF05031198S,-50.2536,-6.05585,South America,Brazil
GF05031197S,-50.2532,-6.05536,South America,Brazil
GF05031196S,-50.3769,-6.3937,South America,Brazil
GF05031195S,-50.3778,-6.394,South America,Brazil
GF05031194S,-50.3783,-6.39448,South America,Brazil
GF05031193S,-50.3768,-6.39279,South America,Brazil
GF05031192S,-50.3839,-6.37718,South America,Brazil
GF05031191S,-50.3835,-6.37827,South America,Brazil
GF05031190S,-50.3837,-6.37796,South America,Brazil
GF05031189S,-50.384,-6.37672,South America,Brazil
GF05031188S,-50.301,-6.01288,South America,Brazil
GF05031187S,-50.3995,-6.35067,South America,Brazil
GF05031186S,-50.3998,-6.35133,South America,Brazil
GF05031185S,-50.4003,-6.35169,South America,Brazil
GF05031184S,-50.4011,-6.35218,South America,Brazil
GF05031183S,-50.4508,-6.32201,South America,Brazil
GF05031182S,-50.4506,-6.32362,South America,Brazil
GF05031181S,-50.4505,-6.32477,South America,Brazil
GF05031180S,-50.45,-6.33422,South America,Brazil
GF05031179S,-50.4417,-6.34855,South America,Brazil
GF05031178S,-50.4428,-6.34896,South America,Brazil
GF05031177S,-50.3005,-6.01118,South America,Brazil
GF05031176S,-50.4435,-6.34867,South America,Brazil
GF05031175S,-50.4433,-6.34967,South America,Brazil
GF05031174S,-50.4351,-6.34907,South America,Brazil
GF05031173S,-50.4358,-6.34864,South America,Brazil
GF05031172S,-50.4347,-6.34865,South America,Brazil
GF05031171S,-50.4361,-6.34996,South America,Brazil
GF05031170S,-49.9676,-6.33315,South America,Brazil
GF05031169S,-49.9658,-6.33361,South America,Brazil
GF05031168S,-49.9634,-6.33327,South America,Brazil
GF05031167S,-49.9638,-6.3337,South America,Brazil
GF05031166S,-50.2851,-6.04904,South America,Brazil
GF05031165S,-49.9354,-6.3289,South America,Brazil
GF05031164S,-49.936,-6.32885,South America,Brazil
GF05031163S,-49.9364,-6.32846,South America,Brazil
GF05031162S,-49.935,-6.32941,South America,Brazil
GF05031161S,-50.1709,-6.13311,South America,Brazil
GF05031160S,-50.172,-6.13215,South America,Brazil
GF05031159S,-50.1754,-6.13071,South America,Brazil
GF05031158S,-50.174,-6.13032,South America,Brazil
GF05031157S,-50.2851,-6.05087,South America,Brazil
GF05031156S,-50.2846,-6.04897,South America,Brazil
GF05031155S,-50.2839,-6.0463,South America,Brazil
GF05031154S,-50.2504,-6.05616,South America,Brazil
GF05031153S,-50.2538,-6.05522,South America,Brazil
