;x;to_keep;
1;new.ID;y;
2;dataset;y;
3;Database_ID;n;
4;PermanentID;y;
5;grouped_samples;n;
6;add_date;n;
7;paper_id;n;
8;paper_to_keep;n;
9;title;n;
10;year;n;
11;authors;n;
12;journal;n;
13;doi;n;
14;contact;n;
15;sample_name;n;
16;sample_type;y;
17;manipulated;n;
18;sample_description;n;
19;latitude;y;
20;longitude;y;
21;continent;n;
22;year_of_sampling;y;
23;Biome;y;tipo vegetaci—n
24;sequencing_platform;y;
25;target_gene;y;
26;primers;n;
27;primers_sequence;n;
28;sample_seqid;n;
29;sample_barcode;n;
30;globfungi_elevation;y;
31;MAT;y;
32;MAP;y;
33;MAT_study;y;
34;MAP_study;y;
35;Biome_detail;y;
36;country;y;
37;month_of_sampling;n;
38;day_of_sampling;n;
39;plants_dominant;n;
40;plants_all;n;
41;area_sampled;n;
42;number_of_subsamples;n;
43;sampling_info;n;
44;sample_depth;n;
45;extraction_DNA_mass;n;
46;extraction_DNA_size;n;
47;extraction_DNA_method;n;
48;total_C_content;n;
49;total_N_content;n;
50;organic_matter_content;n;
51;pH;n;
52;pH_method;n;
53;total_Ca;n;
54;total_P;n;
55;total_K;n;
56;sample_info;n;
57;location;n;
58;area_GPS;n;
59;ITS1_extracted;n;
60;ITS2_extracted;n;
61;ITS_total;n;
62;pH_0cm_depth;n;
63;SOC_0cm_depth..;n;
64;globfungi_elev...GPS.visualizer;n;
65;morrone_biogeoregions_IDProv;y;
66;morrone_biogeoregions_IDSubreg;y;
67;morrone_biogeoregions_Region;y;
68;morrone_biogeoregions_Subregion;y;
69;morrone_biogeoregions_IDProvince;y;
70;morrone_biogeoregions_IDDominio;y;
71;morrone_biogeoregions_Provincias;y;
72;morrone_biogeoregions_Area_km;y;
73;morrone_biogeoregions_Dominio;y;
74;morrone_biogeoregions_Perimetro;y;
75;morrone_biogeoregions_SubDominio;y;
76;wwf_ecoregions_OBJECTID;y;
77;wwf_ecoregions_AREA;y;
78;wwf_ecoregions_PERIMETER;y;
79;wwf_ecoregions_ECO_NAME;y;
80;wwf_ecoregions_REALM;y;
81;wwf_ecoregions_BIOME;y;
82;wwf_ecoregions_ECO_NUM;y;
83;wwf_ecoregions_ECO_ID;y;
84;wwf_ecoregions_ECO_SYM;y;
85;wwf_ecoregions_GBL_STAT;y;
86;wwf_ecoregions_G200_REGIO;y;
87;wwf_ecoregions_G200_NUM;y;
88;wwf_ecoregions_G200_BIOME;y;
89;wwf_ecoregions_G200_STAT;y;
90;wwf_ecoregions_Shape_Leng;y;
91;wwf_ecoregions_Shape_Area;y;
92;wwf_ecoregions_area_km2;y;
93;wwf_ecoregions_eco_code;y;
94;wwf_ecoregions_PER_area;y;
95;wwf_ecoregions_PER_area_1;y;
96;wwf_ecoregions_PER_area_2;y;
97;elevatr_elevation_4.5km2;y;viene de uma origen distinta de los otros datos de clima - Melanies reviso el script 01_get_resources.R 
98;climenv_annavg_tavg_m;y;
99;climenv_annavg_abmt;y;
100;climenv_annavg_tmin_m;y;
101;climenv_annavg_tmax_m;y;
102;climenv_annavg_prec_m;y;
103;climenv_elev;y;
104;climenv_lat;n;
105;climenv_monthavg_tavg_m_Jan;y;
106;climenv_monthavg_tavg_m_Feb;y;
107;climenv_monthavg_tavg_m_Mar;y;
108;climenv_monthavg_tavg_m_Apr;y;
109;climenv_monthavg_tavg_m_May;y;
110;climenv_monthavg_tavg_m_Jun;y;
111;climenv_monthavg_tavg_m_Jul;y;
112;climenv_monthavg_tavg_m_Aug;y;
113;climenv_monthavg_tavg_m_Sep;y;
114;climenv_monthavg_tavg_m_Oct;y;
115;climenv_monthavg_tavg_m_Nov;y;
116;climenv_monthavg_tavg_m_Dec;y;
117;climenv_monthavg_abmt_Jan;y;
118;climenv_monthavg_abmt_Feb;y;
119;climenv_monthavg_abmt_Mar;y;
120;climenv_monthavg_abmt_Apr;y;
121;climenv_monthavg_abmt_May;y;
122;climenv_monthavg_abmt_Jun;y;
123;climenv_monthavg_abmt_Jul;y;
124;climenv_monthavg_abmt_Aug;y;
125;climenv_monthavg_abmt_Sep;y;
126;climenv_monthavg_abmt_Oct;y;
127;climenv_monthavg_abmt_Nov;y;
128;climenv_monthavg_abmt_Dec;y;
129;climenv_monthavg_tmin_m_Jan;y;
130;climenv_monthavg_tmin_m_Feb;y;
131;climenv_monthavg_tmin_m_Mar;y;
132;climenv_monthavg_tmin_m_Apr;y;
133;climenv_monthavg_tmin_m_May;y;
134;climenv_monthavg_tmin_m_Jun;y;
135;climenv_monthavg_tmin_m_Jul;y;
136;climenv_monthavg_tmin_m_Aug;y;
137;climenv_monthavg_tmin_m_Sep;y;
138;climenv_monthavg_tmin_m_Oct;y;
139;climenv_monthavg_tmin_m_Nov;y;
140;climenv_monthavg_tmin_m_Dec;y;
141;climenv_monthavg_tmax_m_Jan;y;
142;climenv_monthavg_tmax_m_Feb;y;
143;climenv_monthavg_tmax_m_Mar;y;
144;climenv_monthavg_tmax_m_Apr;y;
145;climenv_monthavg_tmax_m_May;y;
146;climenv_monthavg_tmax_m_Jun;y;
147;climenv_monthavg_tmax_m_Jul;y;
148;climenv_monthavg_tmax_m_Aug;y;
149;climenv_monthavg_tmax_m_Sep;y;
150;climenv_monthavg_tmax_m_Oct;y;
151;climenv_monthavg_tmax_m_Nov;y;
152;climenv_monthavg_tmax_m_Dec;y;
153;climenv_monthavg_prec_m_Jan;y;
154;climenv_monthavg_prec_m_Feb;y;
155;climenv_monthavg_prec_m_Mar;y;
156;climenv_monthavg_prec_m_Apr;y;
157;climenv_monthavg_prec_m_May;y;
158;climenv_monthavg_prec_m_Jun;y;
159;climenv_monthavg_prec_m_Jul;y;
160;climenv_monthavg_prec_m_Aug;y;
161;climenv_monthavg_prec_m_Sep;y;
162;climenv_monthavg_prec_m_Oct;y;
163;climenv_monthavg_prec_m_Nov;y;
164;climenv_monthavg_prec_m_Dec;y;
165;climenv_abt;y;
166;climenv_tap;y;
167;climenv_per;y;
168;climenv_holdridge_class;y;
